id,catfam,priam,deepec,deepectransformer-regular,deepectransformer-learnt,ecpred,ecrecer,blastp,clean-triplet,clean-supcon,enzbert-regular,enzbert-learnt,proteinbert-regular,proteinbert-learnt,stacked,ec_number,majority-voting-regular,majority-voting-learnt
WP_063324030,-,-,-,1.1.1.108,1.1.1.108,3.1.-.-,3.1.2.28,-,3.1.2.28,3.1.2.28,3.1.2.-,3.1.2.-,3.6.1.59,3.6.1.59,3.1.2.28,1.1.1.108,3.1.2.28,3.1.2.28
WP_063324031,-,1.1.1.108,1.1.1.108,1.1.1.108,1.1.1.108,1.1.1.-,1.1.1.86,1.1.1.108,1.1.1.108,1.1.1.108,1.1.1.108,1.1.1.108,1.1.1.108,1.1.1.108,1.1.1.108,1.1.1.108,1.1.1.108,1.1.1.108
WP_063324926,-,-,-,1.1.1.47,1.1.1.47,1.1.1.-,1.-.-.-,1.-.-.-,"1.1.1.163,1.1.1.311,1.1.1.119,1.1.1.256","1.1.1.119,1.1.1.163,1.1.1.391",1.-.-.-,1.-.-.-,1.1.1.391,"1.2.1.62,1.1.1.311,1.1.1.391",1.-.-.-,1.1.1.48,1.-.-.-,1.-.-.-
WP_063320756,-,-,-,2.4.99.17,2.4.99.17,5.-.-.-,4.2.1.80,-,4.2.1.141,4.2.1.141,1.-.-.-,1.-.-.-,1.6.5.8,1.6.5.8,3.5.2.9,4.2.1.43,2.4.99.17,4.2.1.141
WP_003280093,-,2.8.3.5,2.8.3.5,2.8.3.6,"2.8.3.5,2.8.3.6",2.8.3.-,5.3.1.6,2.8.3.5,2.8.3.5,2.8.3.5,2.8.3.5,2.8.3.5,2.8.3.5,2.8.3.5,2.8.3.5,2.8.3.8,2.8.3.5,2.8.3.5
WP_003294550,-,2.8.3.5,2.8.3.5,2.8.3.6,"2.8.3.5,2.8.3.6",2.8.3.-,5.3.1.6,2.8.3.5,"2.8.3.5,2.8.3.6",2.8.3.5,2.8.3.5,2.8.3.5,2.8.3.5,2.8.3.5,2.8.3.5,2.8.3.8,2.8.3.5,2.8.3.5
WP_015277224,-,-,-,1.3.8.1,1.3.8.1,1.3.8.-,1.3.8.13,1.3.99.-,1.3.8.10,1.3.8.1,1.3.99.-,1.3.99.-,1.3.99.-,"1.3.99.-,1.3.8.1",1.3.99.-,1.3.8.1,1.3.99.-,"1.3.8.1,1.3.99.-"
WP_015277229,-,-,-,1.3.8.1,1.3.8.1,1.3.99.-,1.3.8.13,1.3.99.-,1.3.8.1,1.3.8.1,1.3.99.-,1.3.1.95,1.3.99.-,1.3.99.-,1.3.99.-,1.3.8.1,1.3.99.-,1.3.99.-
WP_015278222,-,-,-,4.3.2.3,4.3.2.3,3.5.-.-,4.2.1.80,-,4.2.1.141,4.2.1.141,3.1.-.-,3.1.-.-,3.7.1.2,3.7.1.2,3.1.21.2,3.7.1.2,3.1.-.-,4.2.1.141
WP_015278495,-,-,-,1.1.99.14,1.1.99.14,1.2.-.-,1.8.98.1,-,1.3.99.31,1.3.5.-,2.3.1.-,2.3.1.-,1.8.98.1,1.3.4.1,2.3.1.-,1.1.3.15,1.8.98.1,2.3.1.-
WP_015278496,-,-,-,1.1.99.14,1.1.99.14,1.1.-.-,1.3.1.98,1.1.2.4,"1.1.2.-,1.1.99.6",1.1.99.6,1.-.-.-,1.-.-.-,1.1.2.4,1.1.2.4,1.1.99.39,1.1.3.15,1.1.2.4,1.1.2.4
WP_015278497,-,-,-,1.1.99.14,1.1.99.14,1.-.-.-,1.3.1.98,1.1.99.6,1.1.2.4,1.1.2.4,1.-.-.-,1.-.-.-,1.1.99.6,1.1.99.6,1.1.99.39,1.1.3.15,"1.-.-.-,1.1.99.6","1.-.-.-,1.1.99.6"
WP_015275423,-,-,-,1.3.8.1,1.3.8.7,1.3.99.-,1.3.99.-,1.3.8.-,1.3.8.9,1.3.8.-,1.3.99.-,1.3.99.-,1.3.8.10,1.3.8.10,1.3.99.41,1.3.8.7,1.3.99.-,1.3.99.-
WP_015275719,-,2.6.1.57,-,2.6.1.1,2.6.1.57,2.6.1.1,2.6.1.1,2.6.1.57,2.6.1.107,2.6.1.57,2.6.1.57,2.6.1.57,2.6.1.57,2.6.1.57,2.6.1.57,2.6.1.57,2.6.1.57,2.6.1.57
WP_011864920,-,-,-,2.7.1.8,2.7.1.8,2.7.1.-,2.7.1.2,2.7.1.8,2.7.1.8,2.7.1.8,2.7.1.59,2.7.1.59,2.7.1.59,"2.7.1.59,2.7.1.8",2.7.1.8,2.7.1.59,2.7.1.8,2.7.1.8
WP_011758678,-,-,-,5.1.3.11,5.1.3.11,5.-.-.-,3.2.1.4,-,5.1.3.11,5.1.3.11,1.-.-.-,5.1.3.11,5.1.3.11,"5.3.1.31,5.1.3.11,3.2.1.156",5.1.3.11,5.3.1.7,5.1.3.11,5.1.3.11
WP_011759060,-,-,-,2.7.1.8,2.7.1.8,2.7.1.-,2.7.1.2,2.7.1.8,2.7.1.8,2.7.1.8,2.7.1.59,2.7.1.59,2.7.1.59,"2.7.1.59,2.7.1.8",2.7.1.8,2.7.1.59,2.7.1.8,2.7.1.8
WP_011759520,-,-,-,2.7.1.4,2.7.1.4,2.-.-.-,2.7.1.59,2.7.1.4,2.7.1.59,2.7.1.59,2.7.1.4,2.7.1.4,2.7.1.59,2.7.1.59,2.7.1.4,2.7.1.2,"2.7.1.4,2.7.1.59","2.7.1.4,2.7.1.59"
WP_011760212,-,-,3.1.3.5,3.1.3.5,3.1.3.5,3.1.3.5,3.1.3.-,3.1.3.5,3.1.3.18,3.1.3.74,3.1.3.5,3.1.3.5,"3.1.3.-,3.1.3.5",3.1.3.5,3.1.3.5,3.1.3.5,3.1.3.5,3.1.3.5
WP_011760344,-,-,-,2.7.1.4,"2.7.1.59,2.7.1.4",2.7.1.59,2.7.1.59,2.7.1.4,2.7.1.59,"2.7.1.59,2.7.1.4",2.7.1.4,2.7.1.4,2.7.1.59,2.7.1.59,2.7.1.4,2.7.1.2,"2.7.1.4,2.7.1.59",2.7.1.59
WP_011760751,-,-,2.6.1.62,2.6.1.18,"2.6.1.18,2.6.1.113",2.6.1.-,5.4.3.8,2.6.1.113,2.6.1.113,2.6.1.113,2.6.1.113,2.6.1.113,2.6.1.96,"2.6.1.96,2.6.1.113",2.6.1.96,2.6.1.19,2.6.1.113,2.6.1.113
WP_011760753,-,-,-,3.5.1.94,3.5.1.94,6.3.5.-,6.3.4.2,2.4.2.-,3.5.1.94,3.5.1.94,3.5.1.94,3.5.1.94,3.5.1.94,3.5.1.94,2.4.2.-,3.5.1.94,3.5.1.94,3.5.1.94
NP_436855,-,-,-,2.3.1.189,2.3.1.189,1.-.-.-,3.4.13.21,-,4.-.-.-,3.5.1.56,1.-.-.-,1.-.-.-,3.5.1.96,3.5.1.96,1.16.99.1,1.1.99.13,1.-.-.-,1.-.-.-
NP_436856,-,-,-,1.1.99.28,1.1.1.312,1.1.1.-,1.1.1.18,1.1.1.292,"1.1.1.361,1.1.1.179",1.1.1.361,1.-.-.-,1.-.-.-,1.1.1.18,1.1.1.18,1.1.1.420,1.1.99.13,1.1.1.18,1.1.1.18
NP_437724,-,-,4.2.1.9,4.2.1.9,4.2.1.9,4.2.1.9,4.2.1.9,4.2.1.-,"4.2.1.9,4.2.1.162","4.2.1.9,4.2.1.162",4.2.1.-,4.2.1.-,4.2.1.9,4.2.1.9,4.2.1.-,4.2.1.25,4.2.1.9,4.2.1.9
NP_437725,-,-,1.2.1.3,1.2.1.26,"1.2.1.26,1.2.1.5",1.2.1.3,1.2.1.8,1.2.1.3,"1.2.1.79,1.2.1.16,1.2.1.26",1.2.1.26,1.2.1.3,"1.2.1.16,1.2.1.26",1.2.1.39,1.2.1.96,1.2.1.3,1.2.1.26,1.2.1.3,"1.2.1.3,1.2.1.26"
NP_437726,-,-,-,1.13.11.24,1.13.11.24,6.-.-.-,2.3.1.117,-,4.2.1.141,4.2.1.141,3.1.1.-,3.1.1.-,3.4.-.-,3.4.-.-,3.1.1.-,4.2.1.43,4.2.1.141,3.1.1.-
NP_437227,-,-,-,5.1.3.32,5.1.3.32,5.1.3.-,5.1.3.32,5.1.3.32,5.1.3.32,5.1.3.32,5.1.3.32,5.1.3.32,5.1.3.32,5.1.3.32,5.1.3.32,5.1.3.29,5.1.3.32,5.1.3.32
NP_437228,-,-,-,1.1.99.28,"1.1.1.179,1.1.1.46",1.1.1.-,1.1.1.18,-,1.1.1.368,2.1.1.209,1.-.-.-,1.-.-.-,5.3.1.4,5.3.1.4,1.1.1.420,1.1.1.122,1.-.-.-,1.1.1.179
NP_437492,-,-,-,2.7.1.45,2.7.1.45,2.-.-.-,2.7.1.167,2.7.1.4,2.7.1.4,2.7.1.45,2.7.1.4,"2.7.1.-,2.7.1.4",2.7.1.4,2.7.1.4,2.7.1.4,2.7.1.101,2.7.1.4,2.7.1.4
NP_385263,-,-,1.1.1.376,1.1.1.48,"1.1.1.46,1.1.1.48",1.1.1.-,1.1.1.18,"1.1.1.120,1.1.1.376,1.1.1.48","1.1.1.48,1.1.1.376,1.1.1.120","1.1.1.48,1.1.1.376,1.1.1.120",1.1.1.48,1.1.1.48,1.1.1.376,"1.1.1.376,1.1.1.48","1.1.1.376,1.1.1.48",1.1.1.48,"1.1.1.376,1.1.1.48",1.1.1.48
NP_384883,-,-,-,1.1.3.15,1.1.99.14,1.1.-.-,1.3.1.98,1.1.2.4,"1.1.2.4,1.1.99.6",1.1.2.4,1.-.-.-,1.-.-.-,1.1.99.6,1.1.99.6,1.1.99.39,1.1.3.15,1.1.2.4,1.1.2.4
NP_384884,-,-,-,1.1.99.14,1.1.99.14,1.1.-.-,1.3.1.98,2.5.1.26,"6.3.2.-,1.1.2.-,2.7.1.36,1.1.99.6,1.1.2.4",1.1.99.6,1.-.-.-,2.4.2.8,1.-.-.-,1.-.-.-,1.1.98.3,1.1.3.15,1.-.-.-,2.4.2.8
NP_384885,-,-,-,1.1.99.14,1.1.99.14,1.-.-.-,1.8.98.1,-,2.3.2.5,1.3.5.-,1.-.-.-,1.-.-.-,1.3.4.1,1.3.4.1,1.16.99.1,1.1.3.15,1.-.-.-,1.-.-.-
NP_384521,-,-,-,3.2.2.1,"3.2.2.1,3.2.2.3,3.2.2.8",3.2.2.-,3.2.-.-,3.2.-.-,"3.2.-.-,3.2.2.3","3.2.2.8,3.2.-.-,3.2.2.3",3.2.2.3,3.2.2.3,3.2.-.-,"3.2.-.-,3.2.2.8",3.2.-.-,3.2.2.3,3.2.-.-,3.2.-.-
NP_384733,-,-,5.3.1.14,5.3.1.14,5.3.1.14,5.3.1.-,5.3.1.5,5.3.1.-,5.3.1.5,"5.3.1.14,5.3.1.5",5.3.1.-,5.3.1.-,5.3.1.-,5.3.1.-,5.3.1.-,5.3.1.14,5.3.1.-,5.3.1.-
NP_384734,-,-,-,4.1.2.19,"4.1.2.19,1.2.3.3,1.3.7.15",1.-.-.-,4.2.1.109,1.-.-.-,"1.1.1.116,1.1.1.304","5.1.3.4,4.2.1.109",1.-.-.-,1.-.-.-,1.3.1.34,1.3.1.34,1.-.-.-,4.1.2.19,1.-.-.-,1.-.-.-
NP_384124,-,-,-,"4.2.1.42,4.2.1.7","4.2.1.42,4.2.1.7",4.2.1.-,4.2.1.9,4.2.1.42,"4.2.1.42,4.2.1.7",4.2.1.42,4.2.1.-,"4.2.1.42,4.2.1.-",4.2.1.7,"4.2.1.42,4.2.1.7",4.2.1.42,4.2.1.5,4.2.1.42,4.2.1.42
NP_384306,-,-,-,2.7.1.8,2.7.1.8,2.7.1.-,2.7.1.2,2.7.1.8,"2.7.1.59,2.7.1.8",2.7.1.8,2.7.1.59,2.7.1.59,2.7.1.2,"2.7.1.2,2.7.1.8",2.7.1.8,2.7.1.59,2.7.1.8,2.7.1.8
NP_384741,-,-,-,2.7.1.51,2.7.1.51,2.-.-.-,2.7.1.16,-,2.7.1.47,2.7.1.47,2.7.1.-,"2.7.1.17,2.7.1.-",2.7.1.47,2.7.1.47,2.7.1.47,2.7.1.5,2.7.1.47,2.7.1.47
NP_387397,-,2.6.1.1,2.6.1.1,2.6.1.1,2.6.1.1,2.6.1.1,2.6.1.1,2.6.1.1,2.6.1.1,2.6.1.1,2.6.1.1,2.6.1.1,2.6.1.1,"2.6.1.79,2.6.1.1,2.6.1.78",2.6.1.1,2.6.1.39,2.6.1.1,2.6.1.1
WP_010211220,-,-,4.2.1.9,4.2.1.9,4.2.1.25,4.2.1.9,4.2.1.9,4.2.1.-,4.2.1.162,4.2.1.162,4.2.1.-,4.2.1.-,4.2.1.9,4.2.1.9,4.2.1.-,4.2.1.25,4.2.1.9,4.2.1.9
WP_010211217,-,-,-,1.2.1.26,1.2.1.26,1.2.1.-,1.2.1.71,1.2.1.26,1.2.1.26,1.2.1.26,1.2.1.26,1.2.1.26,1.2.1.71,1.2.1.71,1.2.1.26,1.2.1.26,1.2.1.26,1.2.1.26
WP_010211216,-,-,-,3.1.1.99,"3.1.1.99,3.1.1.15",3.1.1.-,3.1.1.31,-,"3.1.1.99,3.1.1.15",3.1.1.99,3.1.1.17,"3.1.1.15,3.1.1.17",3.1.1.99,"3.1.1.99,4.2.2.6,3.1.1.15",3.1.1.15,3.1.1.15,3.1.1.99,"3.1.1.99,3.1.1.15"
WP_010210955,-,-,-,4.1.2.42,"4.1.3.41,4.1.2.42,4.3.1.18,3.2.2.9",4.-.-.-,5.1.1.1,-,4.3.1.27,"4.3.1.27,4.1.2.42,4.1.1.96",1.-.-.-,1.-.-.-,3.2.1.22,3.2.1.22,3.1.1.-,4.3.1.9,4.1.2.42,4.1.2.42
WP_010210414,-,-,-,3.1.2.4,"4.2.1.150,4.2.1.149,3.1.2.4",3.1.-.-,4.2.1.17,3.1.2.4,3.1.2.4,3.1.2.4,3.1.2.4,3.1.2.4,3.1.2.4,"1.13.11.80,3.1.2.4",3.1.2.4,3.1.2.4,3.1.2.4,3.1.2.4
WP_010210413,-,-,1.3.8.1,1.3.8.1,1.3.8.1,1.3.8.-,1.3.8.13,1.3.99.-,1.3.8.1,1.3.8.1,1.3.99.-,1.3.99.-,1.3.99.-,"1.3.99.-,1.3.8.1",1.3.99.-,1.3.8.1,"1.3.8.1,1.3.99.-",1.3.8.1
WP_010210411,-,-,-,1.3.8.1,"1.3.1.108,1.3.99.2,1.3.8.1",1.3.99.-,1.3.8.13,1.3.99.-,1.3.8.1,1.3.8.1,1.3.99.-,1.3.1.95,1.3.99.-,1.3.99.-,1.3.99.-,1.3.8.1,1.3.99.-,1.3.99.-
WP_010209382,-,-,1.1.1.203,1.1.1.203,1.1.1.203,1.1.-.-,5.1.3.20,1.1.1.203,1.1.1.203,1.1.1.203,1.1.1.203,1.1.1.203,1.1.1.203,"1.1.1.203,5.1.3.20",1.1.1.203,1.1.1.203,1.1.1.203,1.1.1.203
WP_010209327,-,-,-,2.4.2.4,2.4.2.4,2.-.-.-,3.5.3.6,-,3.5.3.18,3.5.3.-,1.-.-.-,1.-.-.-,2.4.1.15,2.4.1.15,1.16.99.1,3.5.3.6,2.4.1.15,2.4.1.15
WP_010209291,-,-,-,1.1.1.14,"1.1.1.368,1.1.1.9,1.1.1.301,1.1.1.4,1.1.1.264,1.1.1.251",1.1.1.103,1.1.1.103,1.1.1.-,"1.1.1.301,1.1.1.103",1.1.1.103,1.1.1.-,1.1.1.-,1.12.1.3,1.12.1.3,1.1.1.-,1.1.1.9,1.1.1.103,1.1.1.103
WP_010208316,-,"2.6.1.11,2.6.1.81",2.6.1.11,2.6.1.11,2.6.1.11,2.6.1.11,2.6.1.11,2.6.1.11,"2.6.1.17,2.6.1.11","2.6.1.11,2.6.1.17",2.6.1.11,2.6.1.11,"2.6.1.81,2.6.1.11","2.6.1.81,2.6.1.17,2.6.1.11",2.6.1.11,2.6.1.81,2.6.1.11,2.6.1.11
WP_038453710,-,-,-,5.3.1.31,5.3.1.31,5.3.-.-,3.2.1.4,5.3.1.31,5.3.1.31,5.3.1.31,5.3.1.31,5.3.1.31,5.3.1.31,5.3.1.31,5.3.1.31,5.3.1.7,5.3.1.31,5.3.1.31
WP_010207013,-,-,-,1.3.8.7,"1.3.1.95,1.3.8.7",1.-.-.-,1.3.8.13,1.3.8.-,1.3.8.9,1.3.8.-,1.3.8.1,1.3.8.1,1.3.8.10,1.3.99.12,1.3.8.-,1.3.8.7,1.3.8.-,1.3.8.-
WP_010207016,-,-,-,1.3.8.1,1.3.8.8,1.3.8.-,1.3.8.13,1.3.8.-,1.3.8.8,"1.3.8.8,1.3.8.7,1.3.8.-,1.3.8.1",1.3.8.1,1.3.8.1,1.3.8.10,1.3.8.10,1.3.8.8,1.3.8.7,"1.3.8.1,1.3.8.-",1.3.8.-
WP_010207340,-,-,"2.6.1.62,2.6.1.18",2.6.1.113,"2.6.1.18,2.6.1.113",2.6.1.-,5.4.3.8,2.6.1.113,2.6.1.113,2.6.1.113,2.6.1.113,2.6.1.113,"2.6.1.96,2.6.1.113","2.6.1.18,2.6.1.96,2.6.1.113",2.6.1.18,2.6.1.19,2.6.1.113,2.6.1.113
WP_010207341,-,-,-,6.3.1.11,6.3.1.11,6.3.1.-,6.3.1.2,6.3.1.11,6.3.1.11,6.3.1.11,6.3.1.11,6.3.1.11,"6.3.1.2,6.3.1.11","6.3.1.2,6.3.1.11",6.3.1.2,6.3.1.11,6.3.1.11,6.3.1.11
WP_010213153,-,-,-,1.2.1.5,"1.2.1.26,1.2.1.5",1.2.1.-,1.2.1.8,1.2.1.5,1.2.1.16,1.2.1.4,1.2.1.3,"1.2.1.16,1.2.1.26",1.2.1.39,"1.2.1.5,1.2.1.86,1.2.1.85,1.2.1.96",1.2.1.26,1.2.1.26,1.2.1.5,1.2.1.5
