Q9J5G5	3.6.1.23
P26813	6.5.1.1
P06854	2.1.1.45
P00532	2.7.11.1
K7NBZ9	5.4.99.33
Q9J5H2	3.1.1.29
P41721	3.4.22.50
Q81966	3.6.4.12
Q9SVY5	2.7.11.1
Q29539	3.1.27.5
O79433	1.9.3.1
P36722	3.6.4.12
Q306W5	3.4.21.90
P05400	2.7.7.49
A0A0S2IHL6	5.4.99.39
Q775Z7	3.6.1.23
Q20HU7	4.2.3.120;4.2.3.119
P0CK04	3.4.22.45
P12899	2.7.7.49;2.7.7.7;3.1.26.4
Q9YUD3	3.6.1.3
Q5RHR0	2.4.2.30
Q6RZR1	3.6.1.23
Q9VK50	4.6.1.1
Q8TTA9	2.1.1.250
Q1PUD6	3.2.1.18
Q9GSR1	2.7.7.7
Q18LE3	3.4.21.97
O55716	1.17.4.1
W6QJS4	1.11.1.6
Q82041	2.1.1.56;2.7.7.50
Q809M3	2.7.7.48
Q9EVG3	1.1.1.85
P0C6X3	3.4.19.12;3.4.22.69;2.7.7.48;3.6.4.12;3.6.4.13
D4A2H2	2.3.1.50
O57209	2.1.1.56;2.7.7.50;3.1.3.33
Q5HSS7	2.7.9.3
P29991	2.1.1.56;2.1.1.57;2.7.7.48;3.4.21.91;3.6.1.15;3.6.4.13
P06479	2.7.1.21
Q59226	3.2.1.54
Q24742	2.1.1.43
P69546	6.5.1.1
A0A478ECY3	3.2.1.4
Q66575	2.7.7.48;3.4.22.28;3.4.22.29;3.6.1.15
A0A509AF62	2.8.1.7
A8WQH2	1.11.1.7
Q5Y389	2.7.7.48;3.1.3.33;3.6.1.15;3.6.4.13
Q91C36	2.7.7.49;2.7.7.7;3.1.26.4
Q89425	3.6.4.13
P89202	2.7.7.48;3.6.4.13
P03364	2.7.7.49;2.7.7.7;3.1.26.4
P0C679	2.7.7.49;2.7.7.7;3.1.26.4
Q396C5	1.4.3.5
P11640	2.7.7.48
Q9G0U1	1.9.3.1
Q9QBY3	2.7.7.49;2.7.7.7;3.1.13.2;3.1.26.13;3.4.23.16
A0A7H0DNE5	2.7.4.9
W7JLR6	4.2.1.11
P07968	3.1.1.53
P98049	1.9.3.1
Q8IL11	3.4.11.1;3.4.11.10
P19199	2.7.7.49;3.1.26.4
P13615	2.1.1.56;2.7.7.48
Q8V294	2.7.7.48;3.1.3.33;3.6.1.15;3.6.4.13
Q02512	3.6.4.12
Q9YUS3	2.7.7.7;3.1.26.4
A0A7H0DN45	1.8.3.2
P20311	2.7.7.7
Q5UPZ9	2.3.1.4
O12158	2.7.7.49;2.7.7.7;3.1.13.2;3.1.26.13;3.4.23.16
O74630	2.7.11.1
I1RGC4	2.1.1.41
Q8I719	2.7.11.1
D3ZZX1	3.1.3.56
A0A0H3NIL4	2.7.13.3
Q66765	2.7.7.48;3.4.22.28;3.6.1.15
Q9NNW7	1.8.1.9
P0C9B1	3.6.4.13
A3DRP3	3.2.1.18
P04547	2.4.1.27
Q8JN60	2.7.7.48;3.4.22.66;3.6.1.15
Q9LKZ1	2.7.11.24
P04048	2.7.10.1
P52341	3.6.1.23
A0A6S5ZZ88	2.3.3.10
A0A7H0DNE9	2.7.11.1
C0HMB2	3.1.1.4
P52351	3.4.21.97
P32886	2.1.1.56;2.1.1.57;2.7.7.48;3.4.21.91;3.6.1.15;3.6.4.13
A0A2I2F2I5	2.2.1.6
B5E670	3.6.3.14
P04495	2.7.7.7
Q6RSS2	2.7.7.48
Q9P9L4	2.1.1.248
A1DN30	2.5.1.29
P0C6X7	3.4.19.12;3.4.22.69;2.7.7.48;3.6.4.12;3.6.4.13
P12916	2.7.7.48;3.4.22.28;3.4.22.29;3.6.1.15
P0C993	2.1.1.56;2.7.7.50;3.1.3.33
Q8JU61	2.7.7.48
Q6TQR6	2.7.7.48;3.4.19.12
P0C986	2.7.7.7
P89446	2.7.1.21
Q5TJ03	3.4.22.39
Q80DS7	2.7.4.9
Q6R7C9	2.7.7.7
P16824	3.6.1.23
Q3ZN06	2.7.7.48
A2T3S5	2.1.1.56;2.7.7.50
Q3ZK55	2.7.7.48
P35743	3.2.1.18
F2XFA8	4.2.3.119;4.2.3.120
Q9X448	2.3.1.8
Q6DPJ8	3.2.1.18
Q0E2F9	3.4.19.12
Q33245	4.1.1.39
P03190	1.17.4.1
A0A7U9P668	3.2.1.135
P60200	1.8.98.1
P36216	2.1.1.37
P41357	2.1.1.56;2.7.7.48
Q6WNV8	2.1.1.56;2.7.7.50
P0DXC8	4.3.1.1
W5PLZ6	3.2.1.108;3.2.1.62
P12559	3.2.1.18
P00416	1.9.3.1
Q3YL68	2.4.1.274
O90368	2.7.7.48;3.1.3.33;3.6.1.15;3.6.4.13
P84454	3.4.21.97
P36728	3.6.4.12
A0A0H3GPN8	2.7.13.3
Q8R5I6	2.5.1.18
A1A3T0	3.2.1.23
P11125	3.6.1.15
O64235	2.7.7.7
O32518	1.21.4.2;1.21.4.3;1.21.4.4
Q698V5	2.7.7.48
P21033	2.1.1.57
A0A0S2UWT1	2.1.1.104
Q196X6	3.4.19.12
P23069	2.7.7.48;3.4.22.28;3.4.22.29;3.6.1.15
Q9J5B1	2.7.11.1
P04585	2.7.7.49;2.7.7.7;3.1.13.2;3.1.26.13;3.4.23.16
A0A8K1AY78	2.5.1.29
P25020	2.7.10.2
Q9GRU1	2.7.11.24
Q6H7D2	2.7.11.1
Q9LSA9	2.7.4.22
Q8B0H0	2.1.1.56;2.7.7.48
A0A1D8PI71	2.5.1.21
Q9YDP3	2.1.1.37
Q54ER4	2.7.11.1
P93936	4.1.1.39
O91254	3.6.1.3
Q86119	2.7.7.48;3.4.22.66;3.6.1.15
Q1HVH9	3.4.19.12
P10447	2.7.10.2;2.7.10.1
F4I8M8	5.4.2.1
Q6GZR2	3.6.1.23
P36484	4.1.1.39
B3Y522	5.4.99.37
Q9P8G3	3.4.21.63
Q91B85	2.1.1.56;2.1.1.57;2.7.7.48;3.4.21.91;3.6.1.15;3.6.4.13
Q9DSQ0	2.7.7.48
O91080	2.7.7.49;2.7.7.7;3.1.13.2;3.1.26.13;3.4.23.16
Q9FPK5	4.1.1.17
Q38RX1	1.9.3.1
Q6GWS6	2.7.7.48
P06538	2.7.7.7
Q9EVI3	4.2.1.33
O70695	2.7.7.48
Q9ZAA1	1.2.1.3
P22338	2.1.1.56;2.1.1.57;2.7.7.48;3.4.21.91;3.6.1.15;3.6.4.13
A0A072VPZ8	1.1.1.195
Q05554	4.1.1.39
I4CHP3	3.4.21.74
A0A7H0DN95	3.6.1.15
A0A1L3THR9	3.2.1.14
Q9MTX9	3.6.3.14
P28378	4.1.1.39
Q2LFH3	2.7.7.48
A3MZ45	2.7.9.3
P0DRB8	3.4.14.5
Q9DHQ8	2.7.7.6
G4VJD6	1.5.1.3
O54031	4.1.1.3
Q3L6W7	1.9.3.1
O57233	2.7.7.6
Q9L473	2.7.9.3
P04290	2.7.11.1
Q857H2	1.17.4.2
A0A2R8QP51	3.4.14.5
Q8GRU6	2.7.11.1
Q2HR64	3.4.19.12
Q9VQQ0	5.2.1.8
K8ERR8	2.3.1.48
P42486	2.7.7.6
P0DOM8	2.7.1.21
P32208	3.6.1.23
P09573	3.2.1.18
P0DSU6	3.6.4.13
I1RV18	3.5.1.4
P20179	2.7.7.48
P03301	2.7.7.48;3.4.22.28;3.4.22.29;3.6.1.15
Q8JV21	2.7.7.48;3.6.1.15
Q5UPZ2	2.7.11.1
Q8FB83	2.7.7.6
P59796	1.11.1.9
Q6LWL2	1.8.98.1
O78750	1.9.3.1
A0A0B4J2F2	2.7.11.1
Q38S20	1.9.3.1
Q02262	3.6.4.12
P00969	6.5.1.1
Q7MA56	2.7.7.6
Q03132	2.3.1.94
P09574	3.2.1.18
O24527	2.7.11.1
P18882	2.7.7.48
O84925	1.6.99.3
P43745	2.7.7.7
Q6WI70	2.7.7.7
Q8IBT4	2.8.1.7
A0A067XRK9	2.4.1.207
G1UH28	3.2.1.14
P39915	2.5.1.19
Q9G185	1.9.3.1
Q9GPE9	3.6.3.14
P68611	2.7.7.6
P69520	1.17.4.1
Q32131	1.6.5.3;1.6.99.5
Q20NP0	3.2.1.18
A0A384J8V9	3.2.1.4
P28883	3.2.1.18
I3R9K1	6.3.3.3
Q38S65	1.9.3.1
P13287	2.7.11.1
P26970	1.21.4.2;1.21.4.3;1.21.4.4
Q69151	3.6.1.23
Q3KSU5	1.17.4.1
O93215	2.7.7.49;2.7.7.7;3.1.13.2;3.1.26.13;3.4.23.16
O36979	3.4.22.45;2.7.7.48;3.4.22.44
P00543	2.7.10.2;2.7.10.1
Q6XUA7	3.2.1.18
P03369	2.7.7.49;2.7.7.7;3.1.13.2;3.1.26.13;3.4.23.16
Q6XV52	3.2.1.18
Q9DIC5	2.7.7.48
P00544	2.7.10.2
I1RMA2	2.3.1.9
P09248	1.17.4.1
W6QIT2	1.1.1.205
Q9WLS3	2.7.7.48
P0DTE8	3.2.1.1
Q8JUX6	2.7.7.48;3.1.3.33;3.6.1.15;3.6.4.13
Q6E593	2.3.1.196
P16199	3.2.1.18
B5E6L9	2.3.1.46
P28892	3.6.1.23
Q1WNZ7	2.7.7.50
Q80943	3.6.4.12
A0A0J9XL55	3.2.1.4
P03474	3.2.1.18
Q9Q8Q2	3.6.4.13
Q6BV76	2.7.11.1
P0DOQ3	3.6.1.15
A0A5K1K8H0	2.7.11.1
B5EBG1	2.7.9.3
P19560	2.7.7.49;3.1.13.2;3.1.26.13;2.7.7.7
Q6SW70	3.6.1.23
O40958	3.4.22.39
Q9YRV3	2.1.1.56;2.1.1.57;2.7.7.48;3.4.21.91;3.6.1.15;3.6.4.13
Q2I3F5	1.9.3.1
Q8BB04	2.1.1.56;2.7.7.50
Q8LPL3	1.10.3.2
P03484	3.2.1.18
P00406	1.9.3.1
Q9ZZY5	1.9.3.1
Q9IWW8	2.1.1.56;2.7.7.48
P13065	1.12.99.6
Q074N0	2.1.1.56;2.1.1.57;2.7.7.48;3.4.21.91;3.6.1.15;3.6.4.13
P12558	3.2.1.18
Q9N0V3	3.6.3.44
Q5Z5B7	2.5.1.32
A0A0E3D8P4	2.5.1.29
P08344	3.6.4.12
B3EUR4	2.7.7.48
A0A0E3NFS5	1.8.98.1
Q5IS82	2.7.10.1
Q06A37	3.6.4.12
Q37685	1.9.3.1
P07720	2.1.1.56;2.1.1.57;2.7.7.48;3.4.21.91;3.6.1.15;3.6.4.13
F1N206	1.8.1.4
Q9MVL6	1.6.5.3;1.6.99.5
I1RNG8	2.7.11.1
C0PTH8	4.2.3.120;4.2.3.119
P28855	2.7.1.21
O91744	3.2.1.18
O64308	2.7.7.48
A0A0K1SC59	3.5.4.4
Q72XY4	5.4.2.1
Q32663	4.1.1.39
Q7IC90	1.9.3.1
G3GTP0	6.5.1.1
C1KEU0	2.1.1.14
P0C8G2	2.7.4.9
Q9YQR5	2.7.7.48
P67782	1.9.3.1
Q5ZND2	3.1.21.5
P52216	1.21.4.2;1.21.4.3;1.21.4.4
A0A0H3JRU9	6.4.1.1
Q9NR09	6.3.2.19
Q8TYP4	1.8.98.1
P0C994	2.1.1.56;2.7.7.50;3.1.3.33
P13288	2.7.11.1
P08519	3.4.21.7
P24658	2.1.1.56;2.7.7.48
B2RFT0	2.4.2.19
Q330A8	1.6.5.3
P00641	3.1.21.2
Q22453	3.1.3.16
Q39RJ9	2.7.9.3
P22657	2.7.7.48;3.6.4.13
J9VYP5	6.3.3.1;6.3.4.13
Q6XKE6	2.7.7.49
Q06095	3.6.1.23
K0E681	3.2.1.7
P49895	1.97.1.10
A0A1S4CL59	2.4.2.19
G2QCJ3	3.2.1.4
Q5XXP4	2.7.7.48;3.1.3.33;3.6.1.15;3.6.4.13
Q73FJ3	6.1.1.11
B2HM76	2.7.8.11
Q93A90	4.1.1.39
C9K7B7	1.1.1.85
P21087	2.7.7.6
Q9L4E1	2.7.9.3
Q992J0	2.7.7.48
Q4AEH5	1.11.1.9
Q9E005	2.7.7.48
P11204	2.7.7.49;3.1.13.2;3.1.26.13;2.7.7.7;3.6.1.23
Q9M6A7	2.7.11.1
D7RF80	2.1.1.56;2.1.1.57;2.7.7.48;3.4.21.91;3.6.1.15;3.6.4.13
P69485	3.1.3.16;3.1.3.48
B9A1H3	1.8.1.9
A0A0B4HM53	4.2.1.94
Q80IU4	2.7.7.49;2.7.7.7;3.1.26.4
E9EHG0	4.2.1.94
Q37476	1.9.3.1
Q6LYD8	1.8.98.1
Q54699	3.2.1.35
P22419	3.6.4.12
O10378	2.1.1.56;2.7.7.48
A0A1D8PDV7	2.7.1.137
B9VUU3	2.7.7.48;3.4.22.28;3.4.22.29;3.6.1.15
A0A7H0DNC3	2.7.7.6
P36487	4.1.1.39
Q83017	2.7.7.48;3.6.4.12;3.6.4.13
P03006	3.6.4.12
A0A509ASK2	3.1.21.2
P89436	2.7.11.1
A4ZU96	2.7.4.9
Q4QJ85	2.3.1.199
P51994	4.1.1.39
Q38S35	1.9.3.1
O06793	3.1.1.74
Q1ZXD6	2.7.11.1
Q9QMI1	2.7.7.49;2.7.7.7;3.1.26.4
Q9Q944	2.7.7.19
P28390	4.1.1.39
P16716	2.7.7.6
P17653	2.7.1.21
A0A7H0DNE2	1.1.1.145;5.3.3.1
P15187	2.7.7.48
P0C6X4	3.4.19.12;3.4.22.69;2.7.7.48;3.6.4.12;3.6.4.13
Q9G050	6.5.1.1
R4JND9	4.2.3.114;4.2.3.115
P18247	3.4.22.45;2.7.7.48;3.4.22.44
A0A193CHJ5	3.1.1.4
A0A0K9RL25	5.4.2.8
O80302	6.5.1.1
P69514	2.7.7.48;3.6.4.13
Q9I0I2	2.7.13.3
J9VF17	2.4.1.16
P31184	4.1.1.39
O71304	2.7.7.49;2.7.7.7;3.1.26.4
O42412	1.97.1.11
Q9VC47	3.4.24.21
A0A0M3KKW3	3.1.1.32
Q5WPU5	2.1.1.56;2.1.1.57;2.7.7.48;3.4.21.91;3.6.1.15;3.6.4.13
P13888	2.7.7.48;3.1.3.33;3.6.1.15;3.6.4.13
Q196U0	2.7.7.7
P68545	2.1.1.57
P12870	3.4.23.44
A0A0F6AK91	1.1.1.94
P07606	2.1.1.45
P12888	3.2.2.27
Q9EPU2	2.3.1.48
Q01299	2.1.1.56;2.1.1.57;2.7.7.48;3.4.21.91;3.6.1.15;3.6.4.13
Q9YW20	2.3.1.97
P24183	1.2.1.2
I3SL57	1.14.99.3
A0A5N6UX39	3.2.1.4
Q37989	2.7.7.7
Q9Q927	3.6.4.13
Q37896	3.2.1.17
A0A0U1RQE8	2.3.1.68
S0EQ07	5.5.1.19;2.5.1.32
Q5JGC2	1.1.1.169
Q9WAB2	3.6.4.13
Q7SVK7	3.1.26.4;2.7.7.49;2.7.7.7
A8C8X1	2.7.7.48
Q0EF99	1.11.1.9
Q82851	2.7.7.49;3.1.13.2;3.1.26.13;2.7.7.7
P9WER5	2.5.1.29
P07203	1.11.1.9
Q66136	2.7.7.48
P0C691	2.7.7.49;2.7.7.7;3.1.26.4
A0A5N6UNY1	3.2.1.4
P05505	1.9.3.1
Q3B752	2.7.4.9
P97924	2.7.11.1
P14084	2.7.10.2
Q9PX62	2.7.7.49;2.7.7.7;3.1.26.4
Q9RR28	4.2.1.46
P37141	1.11.1.9
A5K3U9	3.4.11.1;3.4.11.10
Q0A3Q1	2.7.7.48
Q2TXG4	4.2.1.79
B5E3C8	6.1.1.21
O42449	1.97.1.10
O47706	1.9.3.1
A0A0D4WTV1	3.1.4.41
Q6R325	2.7.7.48;3.4.22.28;3.6.1.15
Q65946	2.7.7.7
I1RL14	2.5.1.29
P48074	4.1.1.39
A6H5F7	2.7.7.6
P04589	2.7.7.49;2.7.7.7;3.1.13.2;3.1.26.13;3.4.23.16
P10052	2.7.1.21
A4GCJ4	2.7.7.48
P03660	6.5.1.1
O72539	2.7.7.7
Q5UR12	4.2.1.46
Q9Y755	3.4.21.63
Q6J847	2.7.7.48
Q9VHX7	2.3.1.199
Q9JH66	2.7.7.48
P93993	2.7.7.6
Q8LPD9	2.7.11.1
Q89926	3.6.4.13
P0C6X1	2.7.7.48;3.6.4.12;3.6.4.13;3.4.19.12
O54028	6.4.1.3
Q8B9D5	3.4.22.50
P9WER6	2.5.1.29
C9K7B8	2.3.3.13
Q9QJ32	2.7.7.7;3.1.26.4
Q31952	1.6.5.3;1.6.99.5
P22153	3.6.4.12
Q01019	3.2.2.27
Q1AS69	2.1.3.2
O89749	2.7.7.48
P16046	3.4.21.97
Q9TWL9	3.1.1.4
A4GCK0	3.2.1.18
Q32026	4.1.1.39
Q8MBK3	3.6.3.14
P36329	3.4.21.90
Q66849	2.7.7.48;3.4.22.28;3.4.22.29;3.6.1.15
Q2HR67	1.17.4.1
O22000	3.5.4.12
P0C0W7	2.1.1.250
Q0DGP6	3.6.4.6
O57044	2.7.7.48
P04329	3.4.23.44
A6K136	3.1.3.16
A4U6W0	2.7.7.48
K7PL94	2.3.3.10
P22958	2.7.7.48
Q07581	3.2.1.18
A0A1W2PQC6	3.1.3.16
Q9IBI4	2.7.7.49;2.7.7.7;3.1.26.4
Q997F0	2.1.1.56;2.7.7.48
Q83944	2.7.7.48
Q80E12	2.7.7.19
A0A2H5AIX5	6.2.1.12
P35742	3.2.1.18
C6S3N3	2.1.1.56;2.7.7.48
Q6XV28	3.2.1.18
Q9VCN1	2.7.7.7
Q38RY6	1.9.3.1
Q92246	2.7.11.24;2.7.11.1
Q67214	3.2.1.18
Q9P9N0	2.1.1.249
P44160	5.1.3.15
Q9WF19	3.4.22.39
Q6WNW3	2.1.1.56;2.7.7.50
Q8AZL8	2.7.7.48
O92604	2.7.7.48
E5ASS2	2.7.7.68
P28419	4.1.1.39
A0A2V0R8Q9	2.4.1.10
P58970	2.1.1.249
Q62388	2.7.11.1
Q6FRZ9	2.7.11.1
Q3ZPT5	1.14.18.1
D3RNJ4	1.8.4.8
I3VE77	5.4.99.2
Q9MUK0	1.97.1.12
A0A1L5YRA2	5.3.1.1
F2XF94	4.2.3.107
P36226	2.7.1.21
P89876	2.7.7.48;3.4.22.44;3.4.22.45
A0A221J5X3	1.3.1.3
Q09136	2.7.11.1;2.7.11.27;2.7.11.31
A2RST1	2.5.1.18
O36371	2.7.1.21
Q197F1	2.7.7.6
P10149	3.2.2.22
P0C0V9	3.1.1.53
P24425	2.7.1.21
P03631	6.5.1.1
Q07630	2.7.7.48;3.6.4.13
P81174	3.6.4.12
P03600	2.7.7.48
B5WWZ9	1.1.3.20
M2U578	2.5.1.29
P12562	3.2.1.18
A0A5N6V703	3.2.1.4
B2UP57	3.2.1.52
Q38S38	1.9.3.1
Q4W9R0	2.7.8.7
Q89330	3.4.22.45;2.7.7.48;3.4.22.44
Q5UP54	1.8.3.2
W6QAE7	2.5.1.29
W3XEE6	4.2.1.94
Q2HRB6	3.4.21.97
A0A386JVA3	2.5.1.1;2.5.1.10
P03114	3.6.4.12
P04363	2.7.1.21
Q6DDS9	3.6.4.12
Q81165	2.7.7.49;2.7.7.7;3.1.26.4
Q5UQ46	3.6.4.13
C8VJF5	3.1.1.74
Q806Y6	2.7.7.48
J9VND2	3.5.1.41
Q8KBX0	4.2.1.59
B8NHE0	4.2.3.6
P0C0E6	2.7.1.21
Q0ZME8	3.1.1.53
P17396	2.7.7.49;2.7.7.7;3.1.26.4
P28857	2.7.7.7;3.1.26.4
Q9J523	2.7.11.1
P86974	3.1.1.4
P12577	2.1.1.56;2.7.7.48
P27915	2.1.1.56;2.1.1.57;2.7.7.48;3.4.21.91;3.6.1.15;3.6.4.13
Q91UM2	3.2.2.27
K4CI52	1.14.13.93
P18283	1.11.1.9
A0A1D6K6U5	5.5.1.13
B5X564	2.7.11.22;2.7.11.1
Q88CB2	5.1.1.1
Q98745	2.7.7.48;3.6.4.13
F5HFA1	3.2.2.27
C0PPM5	4.2.3.58
Q9YN02	2.7.7.48;3.4.19.12;3.6.4.12;3.6.4.13
P18172	1.1.99.10
F1QCV2	3.5.1.98
P11826	3.4.22.39
P10220	3.4.19.12
A0QWT2	4.1.1.36;6.3.2.5
Q93F76	3.5.2.6
B2BMF9	2.1.1.56;2.7.7.50
P0C9B2	3.6.4.13
Q2FX77	3.5.1.28
P13179	2.1.1.56;2.7.7.48
Q65163	1.8.3.2
P03362	2.7.7.49;2.7.7.7;3.1.26.4
P69185	2.7.1.21
Q3TIW9	3.1.4.12
Q1K9E3	2.7.7.48
A0A0M3Q1Q3	4.2.3.114;4.2.3.115
T2KN98	5.3.1.17
Q9WAL8	2.7.7.48
P0C8I1	1.17.4.1
A0A5F8AH41	2.1.1.28
A0A1P7Y0A8	2.5.1.21
P03478	3.2.1.18
Q8V5E0	2.7.7.48
Q9CIF0	2.7.1.69
Q07574	3.2.1.18
A0A7D0AGU9	2.5.1.29
P13889	2.7.7.48;3.6.1.15;3.6.4.13
P68531	1.9.3.1
O95342	3.6.3.44
Q5UNT1	2.7.11.1
P21603	2.7.7.6
A3F5L9	2.1.1.56;2.7.7.48
A1ZAW0	3.1.26.3
Q64962	2.7.7.48;3.6.4.13
F4JQH3	3.4.11.9
P00471	2.1.1.45
Q14EB1	3.1.1.53
P16009	3.2.1.17
Q9WN78	2.7.7.48;3.4.22.28;3.4.22.29;3.6.1.15
Q8JSD9	3.2.1.18
Q9QUK9	3.4.21.4
P08544	2.7.7.48;3.4.22.28;3.6.1.15
A4UHQ7	2.1.1.56;2.7.7.48
A0A7H0DN62	2.7.7.6
C7A2A0	1.2.1.3
D7EZN2	3.1.1.26;3.1.1.3
P14583	2.7.7.50
A0A0J9XBC9	3.2.1.4
P03305	2.7.7.48;3.4.22.28;3.4.22.46;3.6.1.15
Q9Z0D5	3.6.1.3
P06789	3.6.4.12
A0A384JRP0	3.2.1.28
A4ZCW2	2.7.7.48
P25154	3.4.19.1
A0SJQ5	2.5.1.21
Q05991	4.1.1.39
Q6DV88	2.1.1.56;2.1.1.57;2.7.7.48;3.4.21.91;3.6.1.15;3.6.4.13
Q6FSR7	2.7.1.137
Q9QNF7	2.7.1.21
P41452	2.7.7.6
P98035	1.9.3.1
P36479	4.1.1.39
O47696	1.9.3.1
A0A5N6UWA3	3.2.1.4
Q15772	2.7.11.1
Q9MU30	3.6.3.14
P03371	2.7.7.49;3.1.13.2;3.1.26.13;2.7.7.7;3.6.1.23
Q004B5	2.7.3.3
J9VGT6	2.4.1.16
A0A1D6E0S8	2.7.11.1
Q4X099	4.2.1.9
Q4WHC8	3.6.3.8
A2SZS3	2.7.7.48
P36286	2.7.7.48;3.6.1.15;3.4.22.66
A0A3L6E0R4	1.1.3.15
Q6GZQ8	1.17.4.1
Q96Q15	2.7.11.1
Q96629	3.4.22.39
P18339	2.7.7.48;3.6.4.13
P19703	2.7.7.48
Q8JLG4	2.7.7.19
Q9WMB3	2.1.1.56;2.7.7.48
Q73FB9	6.1.1.17
A0A0U2U4F3	5.4.99.39;5.4.99.40
Q6YMS4	2.1.1.56;2.1.1.57;2.7.7.48;3.4.21.91;3.6.1.15;3.6.4.13
Q710U6	3.2.1.18
P03692	3.6.4.12
P48890	1.9.3.1
P11156	1.17.4.1
P27284	3.4.21.90
O70127	3.6.3.44
G4MZV6	3.1.1.74
T2KMH0	3.2.1.21
P19762	3.2.1.18
Q9IPJ5	2.1.1.56;2.7.7.48
P36331	3.4.21.90
P28438	4.1.1.39
A0A8I3NFE2	3.1.3.86
Q9T9W8	1.9.3.1
Q03131	2.3.1.94
P63185	2.7.10.2
P42489	2.7.7.7
G0RH85	3.1.1.74
Q9JGK8	3.4.21.90
P27172	2.7.7.7;3.1.26.4
O25153	2.7.13.3
Q8IE02	3.1.21.2
P0C6T6	3.4.19.12;3.4.22.69
B2BMQ6	2.7.7.48
Q00227	1.9.3.1
A0A7R7ZDZ6	1.11.1.6
P27411	2.7.7.48;3.4.22.66;3.6.1.15
P0C972	2.7.7.7
B8YB60	2.7.7.6
Q65159	2.7.7.19
Q4JA78	2.3.3.13
O57187	2.7.7.6
P13840	2.7.7.48
O60673	2.7.7.7
Q91ID8	2.1.1.56;2.7.7.50
P22352	1.11.1.9
Q182I1	2.7.9.3
P08834	1.6.5.3
Q17745	1.8.1.9
P16513	2.7.7.48
P03471	3.2.1.18
Q8W3Z3	5.4.99.8
C9EIP1	2.7.3.3
P00745	3.4.21.69
Q6R7H4	1.17.4.1
M1RNJ8	3.2.1.28
B7JJB6	3.1.26.4
B7JIE1	2.5.1.75
P06935	2.1.1.56;2.1.1.57;2.7.7.48;3.4.21.91;3.6.1.15;3.6.4.13
P15024	3.6.4.13
P48699	4.1.1.39
P03303	2.7.7.48;3.4.22.28;3.4.22.29;3.6.1.15
Q84424	2.7.7.50
Q6WQ42	2.7.7.48;3.4.22.28;3.6.1.15
A0A2R2JFW7	3.5.3.1
P61154	1.2.99.5
Q9J3N2	3.2.2.27
Q9RMT4	3.5.2.6
P89657	2.7.7.48;3.6.4.13
P0C6W9	3.4.19.12;3.4.22.69;2.7.7.48;3.6.4.12;3.6.4.13
Q7IZ01	1.9.3.1
Q9W683	1.14.14.1
Q38S05	1.9.3.1
P0DSV6	2.7.4.9
P10210	3.4.21.97
Q37605	1.9.3.1
Q84133	2.7.7.48;3.6.4.13
Q2VC95	3.2.1.18
Q92R44	1.20.4.1
Q05794	2.7.7.48;3.6.1.15
O57250	6.5.1.1
C4M4T9	3.1.3.7
O37061	2.7.7.48
Q33528	4.1.1.39
R9QMY9	4.2.3.121;4.2.3.119
P03252	3.4.22.39
Q7J6G4	1.9.3.1
H2QII6	5.2.1.8
Q5W6F9	4.4.1.14
Q37548	1.9.3.1
G4NEB8	2.7.12.2
Q9VZI2	2.7.10.2
P15443	2.7.11.1
P0C8H9	1.17.4.1
P21968	3.2.2.27
Q5UR20	3.6.4.13
P0DW79	3.13.1.3
Q38A34	2.7.9.3
Q9HZ47	2.7.13.3
Q6J8G2	2.7.7.48
P68530	1.9.3.1
Q3L8U1	3.6.4.12
P0C989	2.7.7.6
Q4AEH9	1.11.1.9
P17283	2.7.7.49;2.7.7.7;3.1.13.2;3.1.26.13;3.4.23.16
P09296	2.7.11.1
P16509	2.7.7.48
Q86117	2.7.7.48;3.4.22.66;3.6.1.15
Q5QQ46	5.5.1.4
P29324	2.7.7.48
P04014	3.6.4.12
Q4J989	2.3.3.14
P0C688	2.7.7.49;2.7.7.7;3.1.26.4
Q5UB51	2.1.1.56;2.1.1.57;2.7.7.48;3.4.21.91;3.6.1.15;3.6.4.13
A0A1C8AX29	1.3.1.9;2.3.1.38;2.3.1.39;3.1.2.14;4.2.1.59
P17003	3.1.1.53
P36330	3.4.21.90
A0KH11	5.1.1.1
O70631	3.1.1.1;3.1.1.56;3.1.1.84
Q20NV3	2.7.7.48
Q8B6J5	2.1.1.56;2.7.7.48
Q0GP30	2.7.7.19
Q74120	2.7.7.49;2.7.7.7;3.1.13.2;3.1.26.13;3.4.23.47
Q4Q5G6	2.3.1.199
Q2RXI0	5.3.1.23
F1MAB7	2.7.1.107
Q6YNQ7	2.7.7.48;3.6.4.13
P60819	2.7.9.3
Q9WC28	2.7.7.48
P29045	2.7.7.48
Q9P9M9	2.1.1.249
Q54Q69	2.7.13.3
Q73PQ2	1.21.4.2;1.21.4.3;1.21.4.4
J9VYL3	5.5.1.4
Q6W8W4	2.7.7.48
Q82007	3.6.4.12
Q6DNQ5	2.7.7.48
P35970	6.5.1.1
Q9YJW3	2.7.7.48;3.4.22.44
P08545	2.7.7.48;3.4.22.28;3.6.1.15
A0A5Y6MCT2	1.1.3.15
P03432	2.7.7.48
A0A221J5W8	1.3.1.3
P12564	3.2.1.18
Q8DPL8	2.7.13.3
P08026	3.2.2.22
G5ECC7	3.4.19.12
P24907	2.7.7.7;3.1.26.4
B6HLU1	6.3.2.26
Q38S11	1.9.3.1
