query_ID	profile_ID	query_length	profile_length	align_length	query_from	query_to	profile_from	profile_to	profile_proportion	bit_score	e-value	positive_hit_probability	is_best_overlap	found_catalytic_pattern	profile_linked_ECs
E4PR88	PRI002049	1172	     198	     205	     721	     916	       3	     192	    0.96	    40.7	4.1E-4     	0.001	T	-	1.2.7.8	
E4PR88	PRI002858	1172	     343	     370	      23	     374	       2	     342	    0.99	   40.77	7.4E-4     	0	T	-	1.2.7.8	
E4PR88	PRI206524	1172	     203	     135	     430	     539	       5	     139	    0.67	   39.21	1.3E-3     	0	T	-	(1.2.7.8)	
E4PR88	PRI004172	1172	     782	      68	     205	     259	      29	      96	    0.09	   36.65	1.7E-2     	0	F	-	2.7.7.7	
E4PR88	PRI002052	1172	     186	     153	     728	     880	       8	     140	    0.72	   31.99	2.7E-1     	0	F	-	1.2.7.7	
Q8EHE8	PRI011321	482	     386	     351	     133	     479	      14	     364	    0.91	   434.9	1.8E-151     	0	T	-	1.2.1.79	
Q8EHE8	PRI002542	482	     360	     359	     128	     479	       1	     359	       1	  433.26	2.5E-151     	0.003	F	-	1.2.1.24	
Q8EHE8	PRI003123	482	     374	     365	     123	     476	       1	     365	    0.98	  402.87	4.4E-139     	0	F	-	1.2.1.16	
Q8EHE8	PRI003762	482	     383	     367	     123	     481	       1	     365	    0.95	  323.95	4.2E-108     	0	F	-	1.2.1.3	
Q8EHE8	PRI002375	482	     371	     348	     142	     481	      20	     367	    0.94	  279.15	7.7E-91     	0	F	-	1.2.1.8	
Q8EHE8	PRI002765	482	     368	     350	     146	     479	      18	     358	    0.93	  229.87	9E-72     	0	F	-	1.2.1.19	
Q8EHE8	PRI003212	482	     365	     361	     128	     478	       4	     361	    0.98	  215.99	1.7E-66     	0	F	-	1.2.1.22	
Q8EHE8	PRI002527	482	     403	     367	     125	     476	       2	     364	     0.9	  190.31	2.9E-56     	0	F	-	1.2.1.5	
Q8EHE8	PRI002514	482	     363	     381	     123	     476	       1	     358	    0.99	  170.86	2E-49     	0	F	-	1.2.1.36	
Q8EHE8	PRI002403	482	     366	     352	     125	     461	       2	     345	    0.94	  170.88	2.5E-49     	0	F	-	1.5.1.6	
Q8EHE8	PRI002346	482	     366	     350	     144	     462	      28	     346	    0.87	  140.49	4.7E-38     	0	F	-	1.2.1.39	
Q8EHE8	PRI003573	482	     356	     287	     140	     414	      13	     288	    0.78	  136.59	8.2E-37     	0	F	-	1.2.1.21;1.2.1.22	
Q8EHE8	PRI212736	482	      98	      94	      32	     125	       5	      98	    0.96	  127.92	1.9E-36     	0.002	F	-	(1.2.1.24)	
Q8EHE8	PRI012658	482	     364	     368	     125	     470	       4	     350	    0.95	  130.07	2.2E-34     	0	F	-	1.2.1.67	
Q8EHE8	PRI012735	482	     353	     353	     142	     482	      15	     351	    0.95	  123.92	2.8E-32     	0	F	-	1.2.1.24;1.2.1.26	
Q8EHE8	PRI200277	482	     358	     373	     123	     463	       1	     340	    0.95	  124.26	2.9E-32     	0	F	-	(1.2.1.4)	
Q8EHE8	PRI003750	482	     372	     347	     146	     479	      24	     362	    0.91	  121.96	2.4E-31     	0	F	-	1.2.1.47;1.2.1.3	
Q8EHE8	PRI014008	482	     348	     344	     146	     463	      17	     332	    0.91	  119.66	9.3E-31     	0	F	-	1.2.1.86	
Q8EHE8	PRI014013	482	     344	     360	     142	     476	       6	     342	    0.98	  115.79	2.4E-29     	0	F	-	1.2.1.83	
Q8EHE8	PRI212653	482	     100	      97	      29	     125	       4	     100	    0.97	  108.32	2.6E-29     	0	F	-	(1.2.1.79)	
Q8EHE8	PRI014010	482	     348	     359	     146	     479	       6	     345	    0.98	  107.71	1.4E-26     	0	F	-	1.2.1.85	
Q8EHE8	PRI004910	482	     368	     361	     147	     464	      31	     351	    0.87	   105.8	9.4E-26     	0	F	-	1.2.1.32	
Q8EHE8	PRI002966	482	     344	     345	     146	     471	       3	     327	    0.94	   97.31	7E-23     	0	F	-	1.2.1.28	
Q8EHE8	PRI013051	482	     345	     357	     131	     463	       4	     332	    0.95	   95.81	2E-22     	0	F	-	1.1.1.257	
Q8EHE8	PRI212756	482	      99	      92	      32	     123	       7	      98	    0.93	   84.82	7.2E-21     	0	F	-	(1.2.1.16)	
Q8EHE8	PRI003700	482	     363	     407	     123	     476	       2	     357	    0.98	   88.87	6.1E-20     	0	F	-	1.2.1.65	
Q8EHE8	PRI003373	482	     346	     352	     144	     470	       5	     331	    0.95	   88.12	7.6E-20     	0	F	-	1.2.1.9	
Q8EHE8	PRI002833	482	     372	     292	     146	     416	      21	     294	    0.74	   85.81	7.1E-19     	0	F	-	1.2.1.71	
Q8EHE8	PRI000262	482	     361	     318	     146	     443	      19	     319	    0.83	   85.04	1.1E-18     	0	F	-	1.2.1.27;1.2.1.18	
Q8EHE8	PRI003256	482	     364	     329	     145	     443	      19	     320	    0.83	   85.03	1.2E-18     	0	F	-	1.2.1.27	
Q8EHE8	PRI012656	482	     354	     233	     250	     471	     126	     345	    0.62	   83.85	2.5E-18     	0	F	-	1.2.1.73	
Q8EHE8	PRI003273	482	     373	     346	     148	     459	      14	     350	     0.9	   83.27	5.3E-18     	0	F	-	1.5.1.12	
Q8EHE8	PRI212733	482	      95	      83	      28	     109	       1	      82	    0.86	   67.01	1.3E-14     	0	F	-	(1.2.1.27)	
Q8EHE8	PRI012755	482	      96	      83	      28	     109	       1	      82	    0.85	   66.25	2.7E-14     	0	F	-	1.2.1.27;1.2.1.18	
Q8EHE8	PRI012734	482	      98	      94	      32	     125	       5	      98	    0.96	   64.31	1.3E-13     	0	F	-	1.2.1.24;1.2.1.26	
Q8EHE8	PRI212601	482	     102	      89	      32	     115	       6	      94	    0.87	   50.85	8.4E-9     	0	F	-	(1.2.1.8)	
Q8EHE8	PRI212657	482	      87	      59	      52	     110	      25	      83	    0.68	   46.33	1.9E-7     	0	F	-	(1.2.1.71)	
Q8EHE8	PRI213050	482	      98	      62	      64	     125	      37	      98	    0.63	   44.34	1.3E-6     	0	F	-	(1.1.1.257)	
Q8EHE8	PRI003707	482	     348	     252	     229	     463	      90	     327	    0.68	   46.51	3.8E-6     	0	F	-	1.2.1.8;1.2.1.3;1.2.1.31	
Q8EHE8	PRI212608	482	      99	      77	      32	     107	       5	      81	    0.78	   42.83	5E-6     	0	F	-	(1.2.1.3)	
Q8EHE8	PRI012738	482	      99	      47	      32	      77	       5	      50	    0.46	   40.06	4.6E-5     	0	F	-	1.2.1.21;1.2.1.22	
Q8EHE8	PRI002380	482	     390	     362	     142	     477	      24	     358	    0.86	   41.59	1.5E-4     	0	F	-	1.2.1.68	
Q8EHE8	PRI207196	482	     344	      55	     153	     205	      20	      72	    0.15	   41.14	1.7E-4     	0	F	-	(1.5.99.8)	
Q8EHE8	PRI212603	482	     104	      77	      56	     125	      27	     103	    0.74	   32.43	2.5E-2     	0	F	-	(1.2.1.5)	
Q8EHE8	PRI212600	482	      97	      41	      27	      67	       1	      41	    0.42	   31.35	4.8E-2     	0	F	-	(1.2.1.9)	
Q8EHE8	PRI012644	482	     385	      83	     231	     312	     106	     187	    0.21	   31.59	1.7E-1     	0	F	-	1.2.1.82	
Q8EHE8	PRI212754	482	      98	      41	      32	      72	       5	      45	    0.42	   28.89	4.4E-1     	0	F	-	(1.2.1.19)	
Q8EE95	PRI011506	759	     385	     288	     154	     432	      85	     348	    0.69	   81.84	3.4E-17     	0	T	-	1.3.8.1	
Q8EE95	PRI012181	759	     376	     303	     127	     412	      51	     319	    0.72	   56.43	4.7E-9     	0	F	-	1.3.8.5	
Q8EE95	PRI012180	759	     376	      35	     174	     208	     100	     134	    0.09	   47.19	4.3E-6     	0	F	-	1.3.8.6	
Q8EE95	PRI012176	759	     380	      43	     168	     210	      95	     135	    0.11	   37.53	5E-3     	0	F	-	1.3.8.9	
Q8EE95	PRI012738	759	      99	      32	     667	     695	      57	      88	    0.32	   30.05	2.5E-1     	0	T	-	1.2.1.21;1.2.1.22	
Q8EE95	PRI009171	759	    1231	      61	      72	     122	     311	     371	    0.05	   30.82	6.7E-1     	0	T	-	3.6.4.12	
Q8EBK6	PRI012058	300	     294	     280	      12	     291	       4	     282	    0.95	   111.8	1.3E-29     	0.001	T	-	2.7.1.8	
Q8EBK6	PRI000727	300	     260	     249	      11	     237	       1	     247	    0.95	    53.2	7.7E-9     	0.002	F	-	2.7.1.59	
I7ELB3	PRI212665	257	     126	     125	     132	     256	       2	     126	    0.99	  235.99	1.5E-80     	0.229	T	-	(1.1.1.14)	
I7ELB3	PRI003027	257	     127	     129	       3	     127	       2	     126	    0.98	  165.73	6.2E-53     	0.007	T	-	1.1.1.14	
I7ELB3	PRI010305	257	     128	     126	     132	     253	       1	     126	    0.98	   77.69	8.9E-19     	0	F	-	1.1.1.304	
I7ELB3	PRI000115	257	     115	     124	     133	     256	       3	     115	    0.98	   63.77	8.3E-14     	0	F	-	1.1.1.100	
I7ELB3	PRI212745	257	     128	     130	       7	     129	       1	     128	       1	   63.25	2E-13     	0	F	-	(1.1.1.304)	
I7ELB3	PRI000103	257	     131	      86	       3	      88	       1	      86	    0.66	   60.66	1.6E-12     	0	F	-	1.1.1.53	
I7ELB3	PRI012613	257	     124	     121	     133	     253	       2	     122	    0.98	   57.23	2.5E-11     	0	F	-	1.1.1.76;1.1.1.304	
I7ELB3	PRI212652	257	     129	     135	     133	     255	       4	     128	    0.97	   55.78	8.8E-11     	0	F	-	(1.1.1.30)	
I7ELB3	PRI212847	257	     117	     136	     132	     256	       3	     117	    0.98	   53.36	5.4E-10     	0	F	-	(1.1.1.127)	
I7ELB3	PRI012726	257	     127	     143	       3	     122	       1	     120	    0.94	   52.06	1.9E-9     	0	F	-	1.1.1.311	
I7ELB3	PRI000081	257	     128	     104	       4	      98	       2	      99	    0.77	   51.32	4.2E-9     	0	F	-	1.1.1.69	
I7ELB3	PRI011299	257	     124	     128	       7	     130	       1	     124	       1	   50.38	6.7E-9     	0	F	-	1.1.1.107	
I7ELB3	PRI012744	257	     125	     120	       7	     122	       3	     122	    0.96	   45.73	3.2E-7     	0	F	-	1.1.1.304	
I7ELB3	PRI000108	257	     143	      86	       3	      84	      12	      91	    0.56	   43.94	2.4E-6     	0	F	-	1.1.1.233	
I7ELB3	PRI000091	257	     135	     132	       4	     126	       1	     132	    0.98	   43.07	3.6E-6     	0	F	-	1.1.1.62	
I7ELB3	PRI003865	257	     124	      99	       6	      90	       1	      86	    0.69	   42.08	7.1E-6     	0	F	-	1.1.1.295	
I7ELB3	PRI212830	257	     140	     142	     133	     256	       3	     140	    0.99	   41.99	9.8E-6     	0	F	-	(1.1.1.140)	
I7ELB3	PRI012888	257	     138	      92	       4	      88	       3	      94	    0.67	   41.62	1.4E-5     	0	F	-	1.1.1.100	
I7ELB3	PRI012637	257	     131	      98	       4	      88	       2	      90	    0.68	   40.94	1.7E-5     	0	F	-	1.1.1.47	
I7ELB3	PRI214459	257	     112	      95	      10	      97	       3	      93	    0.81	   40.28	2.2E-5     	0	F	-	(1.1.1.276)	
I7ELB3	PRI002432	257	     123	     150	       6	     129	       5	     123	    0.97	   40.21	2.6E-5     	0	F	-	1.1.1.162;1.1.1.10	
I7ELB3	PRI012763	257	     138	     127	       3	     114	       2	     125	     0.9	    38.7	1.1E-4     	0	F	-	1.3.1.56	
I7ELB3	PRI002955	257	     124	      57	      11	      67	       8	      64	    0.46	   38.66	1.2E-4     	0	F	-	1.1.1.269	
I7ELB3	PRI002429	257	     122	     101	       7	      90	       1	      89	    0.73	   37.24	3.5E-4     	0	F	-	1.1.1.141	
I7ELB3	PRI212673	257	     116	      58	     133	     187	       1	      57	    0.49	   36.46	4.7E-4     	0	F	-	(1.1.1.10)	
I7ELB3	PRI212727	257	     116	      87	     175	     253	      43	     112	     0.6	   36.07	8.1E-4     	0	F	-	(1.1.1.311)	
I7ELB3	PRI000082	257	     129	      36	       3	      38	       2	      37	    0.28	   35.92	8.6E-4     	0	F	-	1.1.1.159	
I7ELB3	PRI000114	257	     146	     142	       4	     129	       3	     144	    0.97	   35.82	1.2E-3     	0	F	-	1.1.1.10	
I7ELB3	PRI002583	257	     132	     141	       3	     122	       1	     128	    0.97	   35.55	1.4E-3     	0	F	-	1.1.1.288	
I7ELB3	PRI210231	257	     146	      98	      12	      88	       6	      89	    0.58	   35.24	2.2E-3     	0	F	-	(1.1.1.208)	
I7ELB3	PRI012614	257	     125	      49	      54	     102	      53	     101	    0.39	   34.76	2.3E-3     	0	F	-	1.1.1.76;1.1.1.304	
I7ELB3	PRI212617	257	     117	     133	     133	     253	       4	     115	    0.96	    34.5	2.4E-3     	0	F	-	(1.1.1.69)	
I7ELB3	PRI213076	257	     115	      41	     147	     187	      17	      57	    0.36	   34.08	3.5E-3     	0	F	-	(1.1.1.233)	
I7ELB3	PRI000090	257	     149	     134	       2	     115	       1	     134	     0.9	   34.47	4.4E-3     	0	F	-	1.1.1.30	
I7ELB3	PRI212889	257	     115	      29	      10	      38	       4	      32	    0.25	   33.74	4.9E-3     	0	F	-	(1.1.1.100)	
I7ELB3	PRI000092	257	     140	     130	       4	     118	       3	     129	    0.91	   33.85	6.8E-3     	0	F	-	1.1.1.184	
I7ELB3	PRI212624	257	     117	      55	     132	     186	       1	      55	    0.47	   33.03	7.9E-3     	0	F	-	(1.1.1.53)	
I7ELB3	PRI000099	257	     133	      70	       5	      68	       4	      70	     0.5	   32.99	1E-2     	0	F	-	1.3.1.28	
I7ELB3	PRI000087	257	     133	      95	       4	      89	       1	      93	     0.7	   32.92	1E-2     	0	F	-	1.3.1.34	
I7ELB3	PRI012792	257	     135	      95	       3	      87	       1	      91	    0.67	   32.94	1.2E-2     	0	F	-	1.3.1.25	
I7ELB3	PRI000084	257	     157	     122	       9	     116	       8	     129	    0.78	   32.74	2E-2     	0	F	-	1.1.1.35	
I7ELB3	PRI210576	257	     113	      40	      59	      90	      60	      91	    0.28	   31.32	3.1E-2     	0	F	-	(1.3.1.82)	
I7ELB3	PRI212781	257	     120	      86	     175	     255	      45	     120	    0.63	   31.13	3.8E-2     	0	F	-	(1.3.1.34)	
I7ELB3	PRI200109	257	     117	      83	     175	     253	      44	     113	     0.6	   30.66	6.2E-2     	0	F	-	(1.1.1.47)	
I7ELB3	PRI213034	257	     121	      56	     133	     188	       4	      59	    0.46	   30.23	8.4E-2     	0	F	-	(1.1.1.269)	
I7ELB3	PRI210567	257	     145	     107	       3	      88	       2	     101	    0.69	   30.33	1E-1     	0	F	-	(4.2.1.119)	
I7ELB3	PRI000078	257	     135	      32	       4	      35	       2	      33	    0.24	   30.21	1.1E-1     	0	F	-	1.1.1.289	
I7ELB3	PRI212625	257	     122	      63	     132	     183	       1	      54	    0.44	   29.93	1.2E-1     	0	F	-	(1.1.1.51)	
I7ELB3	PRI002936	257	     130	      16	       4	      19	       5	      20	    0.12	   29.77	1.4E-1     	0	F	-	1.1.1.56	
I7ELB3	PRI008307	257	     171	      33	      10	      39	       8	      40	    0.19	   29.74	1.8E-1     	0	F	-	1.1.1.300	
I7ELB3	PRI001841	257	     319	      35	      30	      63	      27	      60	    0.11	   30.06	2.2E-1     	0	F	-	1.1.1.18	
I7ELB3	PRI003266	257	     130	      93	       3	      90	       2	      89	    0.68	   28.58	3.4E-1     	0	F	-	1.3.1.19	
I7ELB3	PRI001031	257	    1259	      44	      77	     117	      22	      64	    0.03	   29.74	3.5E-1     	0	F	-	2.7.8.17	
I7ELB3	PRI000112	257	     150	      30	       6	      35	       5	      34	     0.2	   27.93	6.9E-1     	0	F	-	1.1.1.102	
I7ELB3	PRI207126	257	     114	      72	       3	      74	      43	     114	    0.63	   27.63	6.9E-1     	0	F	-	(3.6.3.25)	
I7ELB3	PRI008445	257	     145	      27	      10	      36	       4	      30	    0.19	   27.91	7.4E-1     	0	F	-	1.1.1.294	
I7ELB3	PRI208491	257	     103	      37	      59	      90	      57	      89	    0.32	   27.05	8.9E-1     	0	F	-	(1.1.1.248)	
I7ELB3	PRI003432	257	     128	      16	       4	      19	       2	      17	    0.12	   27.44	9.1E-1     	0	F	-	1.1.1.252	
I7E0E8	PRI000198	290	     290	     291	       4	     287	       1	     290	       1	  194.85	1.2E-61     	0.002	T	-	1.1.1.31	
I7E0E8	PRI000197	290	     285	     296	       3	     287	       2	     285	       1	  106.61	6.1E-28     	0	F	-	1.1.1.60	
I7E0E8	PRI011349	290	     284	     209	      93	     284	      91	     283	    0.68	   65.01	6.2E-13     	0	F	-	1.1.1.291	
I7E0E8	PRI013989	290	     288	     298	       4	     288	       3	     286	    0.99	   61.19	1.4E-11     	0	F	-	1.1.1.79	
I7E0E8	PRI001866	290	     343	      48	       2	      48	     183	     230	    0.14	   41.92	4.1E-5     	0	F	-	1.2.1.70	
I7E0E8	PRI000486	290	     475	      67	     114	     173	     120	     185	    0.14	   39.35	3.1E-4     	0	F	-	1.1.1.44	
I7E0E8	PRI002311	290	     273	      44	       1	      44	       1	      44	    0.16	   37.72	7.6E-4     	0	F	-	1.1.1.94	
I7E0E8	PRI007281	290	     445	      45	       3	      45	       1	      45	     0.1	   29.32	6E-1     	0	F	-	6.3.2.9	
I7EX15	PRI001563	309	     259	      31	     209	     239	      76	     106	    0.12	   31.25	1.2E-1     	0	T	-	1.2.1.10	
I7E0Z4	PRI013790	417	     409	     345	      87	     394	      74	     404	    0.81	   51.24	1.1E-7     	0.002	T	-	5.1.3.11	
I7E0Z4	PRI004968	417	     407	     117	      42	     156	     238	     348	    0.27	   31.54	1.7E-1     	0	F	-	3.6.3.47	
I7E0Z4	PRI001219	417	     314	      61	     259	     319	     226	     286	    0.19	   29.23	7.5E-1     	0	F	-	2.2.1.1	
I7EZT8	PRI012058	300	     294	     289	       8	     290	       3	     284	    0.96	   73.28	1.4E-15     	0	T	-	2.7.1.8	
I7EZT8	PRI207462	300	     186	      27	      85	     106	     144	     170	    0.15	   28.91	5E-1     	0	F	-	(6.3.4.15)	
I7EZT8	PRI000242	300	     270	     153	      13	     151	       1	     137	    0.51	   28.58	9.3E-1     	0	F	-	2.7.1.2	
I7DU71	PRI000922	444	     236	      72	      25	      90	     148	     219	    0.31	   33.67	3.4E-2     	0	T	-	1.3.99.1	
I7DU71	PRI002296	444	     161	      87	      19	     100	      14	      88	    0.47	   31.81	7.5E-2     	0.001	F	-	1.8.98.1	
I7DU71	PRI000928	444	      95	      15	      23	      37	      81	      95	    0.16	   29.87	1.6E-1     	0	F	-	1.6.5.3	
I7DU71	PRI014245	444	     335	      19	      25	      40	     233	     251	    0.06	   29.96	5.6E-1     	0	F	-	1.97.1.3	
I7F093	PRI000630	366	     516	     185	      33	     201	     114	     289	    0.34	   59.11	2.9E-10     	0	T	-	1.1.2.4	
I7F093	PRI002910	366	     592	      76	      95	     168	     240	     312	    0.12	   39.46	5.8E-4     	0	F	-	2.5.1.26	
I7F093	PRI010800	366	     163	      50	     128	     170	       1	      44	    0.27	   28.99	4.8E-1     	0.002	F	-	2.7.7.6	
I7F093	PRI010618	366	    1188	      18	     250	     266	     943	     960	    0.02	   29.56	6.7E-1     	0	T	-	2.7.9.2	
I7EQM9	PRI000630	482	     516	     447	      51	     465	      69	     515	    0.87	  202.02	1.4E-59     	0.003	T	-	1.1.2.4	
I7EQM9	PRI002910	482	     592	     238	      51	     264	     135	     353	    0.37	   40.62	3.2E-4     	0	F	-	2.5.1.26	
I7ETR9	PRI000658	284	     291	     285	       5	     277	       1	     285	    0.98	  137.14	2E-39     	0.004	T	-	4.1.3.34;4.1.3.6	
I7ETR9	PRI011446	284	     302	     298	       6	     272	       1	     298	    0.99	   87.52	9.8E-21     	0.001	F	-	4.1.3.24	
I7EX64	PRI001890	279	     284	     285	       1	     273	       1	     278	    0.98	  135.87	4.9E-39     	0	T	-	4.1.2.29	
I7EX64	PRI001892	279	     376	     328	       1	     248	       1	     327	    0.87	   121.7	7.7E-33     	0	F	-	4.1.2.13	
I7EX64	PRI001891	279	     284	     246	       1	     237	       1	     242	    0.85	   79.61	5E-18     	0	F	-	4.1.2.40	
I7EX64	PRI001465	279	     822	      49	      11	      58	      55	      98	    0.05	   32.79	4E-2     	0	F	-	2.3.1.48	
I7EX64	PRI003111	279	     276	      29	      25	      53	     134	     162	    0.11	   31.11	1.2E-1     	0	F	-	3.2.1.17;3.2.1.14	
I7EX64	PRI003030	279	     265	      36	      12	      46	       7	      40	    0.13	   29.25	4.4E-1     	0	F	-	4.1.3.39	
I7EX64	PRI011087	279	    1907	      83	      32	     101	      59	     141	    0.04	      29	7.8E-1     	0	F	-	2.7.7.48	
I7DYC7	PRI001841	401	     319	     168	      36	     194	       1	     155	    0.49	   77.05	2.2E-16     	0	T	-	1.1.1.18	
I7DYC7	PRI212996	401	     292	      87	     101	     185	      56	     140	    0.29	   44.78	8.5E-6     	0	F	-	(1.1.1.292)	
I7DYC7	PRI008523	401	     317	     173	      40	     186	       4	     146	    0.45	   39.25	5E-4     	0	F	-	1.1.1.18	
I7DYC7	PRI003454	401	     272	     119	      87	     204	      51	     162	    0.41	   36.34	4.4E-3     	0.001	F	-	1.1.1.179;1.3.1.20	
I7DYC7	PRI212997	401	     275	     161	      66	     216	      19	     170	    0.55	   33.68	2.6E-2     	0	F	-	(1.1.1.292)	
G8QFB6	PRI000032	158	     499	      59	      97	     149	     316	     374	    0.12	   30.79	5.5E-2     	0	T	-	3.6.1.6	
G8QFB6	PRI001709	158	     160	      61	      82	     142	     105	     158	    0.34	   29.06	1.5E-1     	0.001	F	-	5.1.99.1	
G8QFB6	PRI003446	158	     268	      75	      47	     120	     126	     192	    0.25	   27.06	9.8E-1     	0	F	-	4.1.1.1	
A0A166N099	PRI003762	481	     383	     349	     137	     481	      19	     366	    0.91	  326.26	4.6E-109     	0	T	-	1.2.1.3	
A0A166N099	PRI002375	481	     371	     367	     121	     479	       5	     364	    0.97	   275.3	2.5E-89     	0	F	-	1.2.1.8	
A0A166N099	PRI002527	481	     403	     349	     138	     479	      21	     368	    0.86	  224.98	1.9E-69     	0	F	-	1.2.1.5	
A0A166N099	PRI011321	481	     386	     347	     137	     481	      23	     367	    0.89	  219.96	1E-67     	0	F	-	1.2.1.79	
A0A166N099	PRI003123	481	     374	     350	     142	     480	      30	     370	    0.91	   188.7	5.5E-56     	0	F	-	1.2.1.16	
A0A166N099	PRI003256	481	     364	     366	     122	     476	       1	     357	    0.98	  184.41	1.7E-54     	0	F	-	1.2.1.27	
A0A166N099	PRI000262	481	     361	     364	     126	     476	       4	     356	    0.98	  180.95	3E-53     	0	F	-	1.2.1.27;1.2.1.18	
A0A166N099	PRI002514	481	     363	     355	     138	     476	      19	     359	    0.94	  180.87	3.1E-53     	0	F	-	1.2.1.36	
A0A166N099	PRI003212	481	     365	     367	     127	     481	       8	     365	    0.98	  180.93	3.7E-53     	0	F	-	1.2.1.22	
A0A166N099	PRI002765	481	     368	     357	     139	     476	      16	     356	    0.93	  178.63	2.4E-52     	0	F	-	1.2.1.19	
A0A166N099	PRI002403	481	     366	     344	     130	     459	      14	     345	    0.91	  178.59	2.8E-52     	0	F	-	1.5.1.6	
A0A166N099	PRI014013	481	     344	     347	     137	     469	       6	     336	    0.96	  168.18	1.3E-48     	0	F	-	1.2.1.83	
A0A166N099	PRI200277	481	     358	     300	     140	     417	      22	     297	    0.77	  167.02	5.8E-48     	0	F	-	(1.2.1.4)	
A0A166N099	PRI002833	481	     372	     306	     162	     452	      42	     333	    0.78	  164.01	8.1E-47     	0	F	-	1.2.1.71	
A0A166N099	PRI002542	481	     360	     366	     123	     475	       1	     356	    0.99	  162.85	2.2E-46     	0	F	-	1.2.1.24	
A0A166N099	PRI002346	481	     366	     329	     138	     459	      26	     345	    0.87	  156.28	5.9E-44     	0	F	-	1.2.1.39	
A0A166N099	PRI003273	481	     373	     363	     130	     456	       1	     349	    0.94	  143.74	2.7E-39     	0	F	-	1.5.1.12	
A0A166N099	PRI014008	481	     348	     340	     137	     464	      13	     334	    0.93	  138.92	9.2E-38     	0	F	-	1.2.1.86	
A0A166N099	PRI003573	481	     356	     318	     128	     423	       6	     300	    0.83	  131.97	4.6E-35     	0	F	-	1.2.1.21;1.2.1.22	
A0A166N099	PRI003750	481	     372	     364	     139	     476	      22	     360	    0.91	  113.87	1.4E-28     	0	F	-	1.2.1.47;1.2.1.3	
A0A166N099	PRI004910	481	     368	     363	     139	     471	      25	     359	    0.91	  113.12	2.4E-28     	0	F	-	1.2.1.32	
A0A166N099	PRI012658	481	     364	     371	     123	     460	       7	     342	    0.92	  108.12	1.4E-26     	0	F	-	1.2.1.67	
A0A166N099	PRI003373	481	     346	     363	     137	     479	       3	     341	    0.98	  106.99	2.5E-26     	0	F	-	1.2.1.9	
A0A166N099	PRI014010	481	     348	     374	     143	     475	       8	     342	    0.96	   105.4	1E-25     	0	F	-	1.2.1.85	
A0A166N099	PRI002966	481	     344	     242	     143	     466	       5	     319	    0.67	  123.36	1.3E-21     	0	F	-	1.2.1.28	
A0A166N099	PRI013051	481	     345	     339	     150	     460	      28	     331	    0.88	   69.62	1.2E-13     	0	F	-	1.1.1.257	
A0A166N099	PRI207196	481	     344	     202	     142	     326	      14	     206	    0.56	   66.18	1.4E-12     	0	F	-	(1.5.99.8)	
A0A166N099	PRI012735	481	     353	     393	     132	     475	      10	     349	    0.96	   63.06	1.9E-11     	0	F	-	1.2.1.24;1.2.1.26	
A0A166N099	PRI003700	481	     363	     299	     148	     414	      32	     297	    0.73	   60.36	1.3E-10     	0	F	-	1.2.1.65	
A0A166N099	PRI212657	481	      87	      66	      40	     105	      18	      83	    0.76	   52.11	1.9E-9     	0	T	-	(1.2.1.71)	
A0A166N099	PRI212653	481	     100	      95	      23	     115	       4	      95	    0.92	   50.16	1.2E-8     	0	F	-	(1.2.1.79)	
A0A166N099	PRI212608	481	      99	      86	      33	     116	      11	      96	    0.87	   48.23	6.5E-8     	0	F	-	(1.2.1.3)	
A0A166N099	PRI012644	481	     385	     139	     133	     256	      16	     136	    0.31	   47.38	2E-6     	0	F	-	1.2.1.82	
A0A166N099	PRI012656	481	     354	     199	     148	     329	      32	     210	    0.51	   44.95	1.1E-5     	0	F	-	1.2.1.73	
A0A166N099	PRI012755	481	      96	      62	      45	     106	      23	      84	    0.65	   39.29	7.8E-5     	0	F	-	1.2.1.27;1.2.1.18	
A0A166N099	PRI212733	481	      95	      70	      43	     106	      21	      84	    0.67	   38.89	9.8E-5     	0	F	-	(1.2.1.27)	
A0A166N099	PRI003707	481	     348	     195	     142	     314	       5	     180	    0.51	    41.5	1.5E-4     	0	F	-	1.2.1.8;1.2.1.3;1.2.1.31	
A0A166N099	PRI002380	481	     390	     124	     142	     258	      29	     143	    0.29	    41.2	2.1E-4     	0	F	-	1.2.1.68	
A0A166N099	PRI212909	481	     101	      94	      22	     114	       1	      94	    0.93	   38.27	2.3E-4     	0	F	-	(1.5.1.12)	
A0A166N099	PRI212756	481	      99	      71	      47	     117	      27	      97	    0.72	   37.44	3.7E-4     	0	F	-	(1.2.1.16)	
A0A166N099	PRI212736	481	      98	      74	      47	     120	      25	      98	    0.76	   34.31	4.4E-3     	0	F	-	(1.2.1.24)	
A0A166N099	PRI212754	481	      98	      84	      34	     116	      12	      95	    0.86	   30.82	7.3E-2     	0	F	-	(1.2.1.19)	
A0A166N099	PRI012645	481	     310	      60	     143	     198	      20	      79	    0.19	   30.46	4.7E-1     	0	F	-	1.2.1.81	
A0A166NMU2	PRI002592	426	     345	     340	       1	     337	       9	     345	    0.98	  252.33	2.3E-81     	0.002	T	-	6.3.1.11	
A0A166NMU2	PRI001617	426	     362	     349	      24	     335	      14	     360	    0.96	  116.04	1.2E-29     	0	F	-	6.3.1.2	
A0A166NMU2	PRI208645	426	     352	     255	      91	     337	      99	     352	    0.72	   75.54	9.9E-16     	0	F	-	(6.3.1.2)	
