P13559	3.2.1.17
Q9MUK1	1.97.1.12
Q33245	4.1.1.39
Q1HVD1	2.7.1.21
Q82122	2.7.7.48;3.4.22.28;3.4.22.29;3.6.1.15
Q91F97	2.7.7.6
P9WEW5	3.4.21.63
Q8WMS6	3.1.3.16;3.1.3.53
P67780	1.9.3.1
P0C8G4	6.3.2.19
Q87009	3.6.1.3
Q9Q8Q2	3.6.4.13
Q9KJY7	3.5.2.6
Q9INI4	2.1.1.56;2.7.7.50
A0A384J8V9	3.2.1.4
A0A1W2PQ27	3.1.3.16
Q86567	3.6.1.3
Q3S406	2.7.11.26;2.7.11.1
P36327	2.7.7.48;3.1.3.33;3.6.1.15;3.6.4.13
P50661	1.9.3.1
Q2HRB6	3.4.21.97
A0A2K8FTN3	2.8.1.7
A4ZCW2	2.7.7.48
Q38RY9	1.9.3.1
Q9FEQ0	2.3.1.15
Q05B79	3.6.4.13
A0A509AQE6	2.7.11.1
Q9QSP0	2.1.1.56;2.7.7.48
Q8FHF4	2.7.11.1
A0A4P8DJE6	6.3.4.14;6.4.1.2
P14350	3.1.26.4;2.7.7.49;2.7.7.7
Q07576	3.2.1.18
Q4WNV9	4.1.1.33
Q96629	3.4.22.39
B3VML1	2.7.7.48
P15057	3.2.1.17
P13179	2.1.1.56;2.7.7.48
A0A2Z4HPY5	2.3.1.31
Q59RA2	2.7.8.11
P0C9B0	3.6.4.13
Q8SQ14	3.1.27.5
Q80J95	2.7.7.48;3.6.1.15;3.4.22.66
P24096	2.7.1.21
P19385	3.2.1.17
Q918W3	2.7.7.48;3.6.4.13
Q65YX0	1.5.1.38
O57204	2.7.7.6
P03465	3.1.1.53
Q5UQX1	2.1.1.56;2.7.7.50;3.1.3.33
Q9EVG2	4.2.1.33
G5EEE5	2.3.1.199
P98047	1.9.3.1
A0A5N6UWA3	3.2.1.4
Q2Y0E9	2.7.7.48
R9QMW6	4.2.3.121
Q03164	2.1.1.43
Q4WXY0	2.7.11.1;2.7.11.25
P10271	3.6.1.23
Q64962	2.7.7.48;3.6.4.13
Q5UQD2	2.7.1.78;3.1.3.32
P0CJ97	3.4.22.45
Q80DV1	2.7.7.6
Q91FD5	2.7.11.1
P28378	4.1.1.39
Q8JU60	3.6.4.13
P29814	3.6.1.15
K8ERR8	2.3.1.48
Q751J3	2.7.11.1
Q6YI57	2.7.7.48;3.6.4.13
Q06478	3.1.1.32
Q9FPK5	4.1.1.17
Q6XNL5	2.7.7.48
Q69BJ9	1.10.2.2
B0Y462	2.7.11.24
O47690	1.9.3.1
Q9WGE0	3.4.22.50
P08026	3.2.2.22
P27738	2.7.7.48;3.6.4.13
Q07846	3.6.4.12
O15357	3.1.3.86
P0C8I3	2.7.1.21
Q83262	2.7.7.48
P50643	1.17.4.1
P0CAP6	1.17.4.1
A4GCJ4	2.7.7.48
A8B479	1.11.2.3
Q01206	2.7.7.48;3.4.22.44
A0A858E6N7	2.5.1.29
P52362	3.4.19.12
Q0A456	3.2.1.18
P07392	2.7.7.6
O48316	1.9.3.1
Q02119	2.7.7.48
P35740	3.2.1.18
Q83356	3.1.1.53
A0A221J5X6	1.3.1.3
Q00231	1.6.5.3
P50765	3.6.4.12
Q89187	1.1.1.145;5.3.3.1
P09592	3.4.21.90
O71121	2.7.7.7;3.1.26.4
G3FEX6	2.1.1.56;2.1.1.57;2.7.7.48;3.4.21.91;3.6.1.15;3.6.4.13
O03848	1.9.3.1
P05664	2.7.7.7
Q33369	4.1.1.39
P61159	1.2.1.2
F2XF96	4.2.3.119;4.2.3.120
Q9M2B9	1.4.3.21
Q5RHR0	2.4.2.30
Q9XZ16	3.1.3.16
Q38S38	1.9.3.1
A0A384JRP0	3.2.1.28
Q9IWA0	2.7.7.48
Q2F7J0	3.1.26.4;2.7.7.49;2.7.7.7
O10363	3.2.1.14
Q9JHC0	1.11.1.9
B7JJB6	3.1.26.4
Q6TUZ4	3.6.1.23
Q91DR9	2.1.1.56;2.7.7.48
P0C0W3	2.1.1.248
Q2F7J3	3.1.26.4;2.7.7.49;2.7.7.7
Q2M3G0	3.6.3.44
Q3TIW9	3.1.4.12
Q289M4	3.2.1.18
Q80IU4	2.7.7.49;2.7.7.7;3.1.26.4
G5ECC7	3.4.19.12
Q9VP76	4.6.1.1
B5E4U6	2.7.1.48
P18131	2.7.7.7
P07210	2.7.7.48;3.4.22.28;3.4.22.29;3.6.1.15
Q8KUU5	2.8.1.7;4.4.1.16
P17595	3.6.4.13
Q8R5I6	2.5.1.18
Q775Z7	3.6.1.23
Q2VNE5	2.7.7.48
P17468	2.7.7.48
E7FDV5	1.22.1.1
Q91TW9	2.7.7.48;3.6.4.13
B9RW49	2.8.1.8
P13158	3.2.2.27
A0A7H0DN27	2.7.11.1
O36410	1.17.4.1
Q37596	1.9.3.1
D7EZN2	3.1.1.26;3.1.1.3
Q67IL7	1.6.99.5
Q9J5H2	3.1.1.29
Q5GRY9	2.7.7.6
Q06502	2.7.7.48;3.6.4.12;3.6.4.13
Q88NF3	5.1.1.8
P23069	2.7.7.48;3.4.22.28;3.4.22.29;3.6.1.15
P13889	2.7.7.48;3.6.1.15;3.6.4.13
A2RIE6	2.7.1.69
D4GT97	3.6.1.1
Q65526	2.1.1.56;2.7.7.50
Q83424	2.7.7.48
Q4WKP8	2.7.11.1
Q45UF7	2.1.1.56;2.7.7.50
P22556	2.7.7.48;3.4.22.44
P04290	2.7.11.1
P0C5B4	3.4.21.74
P50686	1.9.3.1
Q32770	4.1.1.39
P11328	3.6.4.12
Q9N290	2.4.1.228
Q8W9N0	1.9.3.1
Q91GE3	3.4.22.50
Q54699	3.2.1.35
F4I8M8	5.4.2.1
Q5JGC2	1.1.1.169
A0A7U9P668	3.2.1.135
P03157	2.7.7.49;2.7.7.7;3.1.26.4
E3W203	4.2.3.81;4.2.3.82;4.2.3.83
Q92813	1.97.1.10
P26456	1.9.3.1
Q89251	2.7.7.48;3.4.22.44
H1UBK1	3.4.11.18
P31792	3.1.26.4;2.7.7.49;2.7.7.7
P0DTH5	2.7.1.21
Q68T42	2.7.7.48;3.4.22.28;3.4.22.29;3.6.1.15
Q7S9V5	3.1.3.8
H6VGI2	2.7.3.3
Q8J2T0	3.2.1.52
P63299	3.6.3.17
J4W0G2	2.7.11.1
Q84173	2.7.7.7
P17193	2.7.7.49;2.7.7.7;3.1.26.4
A3F5L9	2.1.1.56;2.7.7.48
P80994	3.1.3.48
Q5QQ46	5.5.1.4
Q8GIX7	1.1.1.1
Q4QNZ0	2.7.9.3
P89876	2.7.7.48;3.4.22.44;3.4.22.45
P0C6U9	3.4.19.12;3.4.22.69;2.7.7.48;3.6.4.12;3.6.4.13
J9VQQ3	3.6.3.8
Q8V736	2.7.7.48;3.6.1.15;3.4.22.66
Q07579	3.2.1.18
Q82041	2.1.1.56;2.7.7.50
Q80S27	3.4.21.90
P50685	1.9.3.1
Q37882	2.7.7.7
Q9JH70	2.7.7.48
Q9PVZ4	2.7.10.1
P81174	3.6.4.12
A0A0J9XL55	3.2.1.4
P22382	2.7.7.49;2.7.7.7;3.1.13.2;3.1.26.13;3.4.23.16
A0A8I5ZNK2	2.7.11.1
Q08FW1	2.7.7.19
I3R9K1	6.3.3.3
P19028	3.6.1.23;2.7.7.49;3.1.13.2;3.1.26.13;2.7.7.7
Q9E6N3	3.4.19.12
Q8SQ12	3.1.27.5
B7JIX2	6.3.1.1
Q29593	2.2.1.2
Q23357	2.7.11.22
O64240	1.17.4.2
P04518	2.7.7.48
Q5R761	3.4.19.12
Q9JF79	2.7.7.6
P03307	2.7.7.48;3.4.22.28;3.4.22.46;3.6.1.15
Q7K738	6.3.2.19
A0A1S4D475	2.4.2.19
A0A348FUE1	2.5.1.29
Q8QGX4	2.7.11.1
P12562	3.2.1.18
K7PL94	2.3.3.10
Q5F8J4	1.1.1.3
P28884	3.2.1.18
I1RV18	3.5.1.4
P17593	2.7.7.48;3.4.22.28;3.6.1.15
A0QWT2	4.1.1.36;6.3.2.5
P41312	1.9.3.1
P50642	1.17.4.1
Q04610	2.7.7.48
Q72XY4	5.4.2.1
P89453	2.7.7.7;3.1.26.4
O78750	1.9.3.1
C0PPR1	4.2.3.119
Q07573	3.2.1.18
P11909	1.11.1.9
P52367	2.7.7.7
P28413	4.1.1.39
Q9ERU9	5.2.1.8
P03476	3.2.1.18
P18882	2.7.7.48
Q85428	2.7.7.7;3.1.26.4
F2XF97	4.2.3.71;4.2.3.76
O10273	3.1.3.48
P16769	3.2.2.27
A0A2V0R8Q9	2.4.1.10
B8K1W2	3.6.3.44
I3R176	6.3.1.2
Q1LU65	2.3.1.15
B0FXM2	3.4.21.74
Q9EVI6	4.2.1.33
P19199	2.7.7.49;3.1.26.4
P03680	2.7.7.7
B9VVJ6	2.7.11.1
P52345	3.2.2.27
P98020	1.9.3.1
Q6YMS3	2.1.1.56;2.1.1.57;2.7.7.48;3.4.21.91;3.6.1.15;3.6.4.13
Q37605	1.9.3.1
P03482	3.2.1.18
Q01681	2.7.7.48;3.4.22.44
O91729	3.6.1.15
Q5ZND2	3.1.21.5
Q88434	2.1.1.56;2.7.7.48
B2UQG6	3.2.1.52
A0A0S2GKZ1	3.2.1.4
Q4WSY2	1.1.1.34
P12915	2.7.7.48;3.4.22.28;3.4.22.29;3.6.1.15
Q37643	1.9.3.1
P19151	3.4.22.39
A0A1W2PR19	2.5.1.18
Q8BCR0	2.7.7.48;3.6.1.15;3.6.4.13
O57177	2.7.11.1
Q9C9B9	2.7.1.48
Q9YRB3	2.7.7.48;3.6.4.13
Q8BDD7	3.6.4.12
Q2HR67	1.17.4.1
R9QMQ9	4.2.3.111
Q934F5	1.2.1.2
Q7M1Z2	3.2.2.22
P33802	2.7.1.21
Q9IGQ0	3.2.1.18
P00659	3.1.27.5
A1YIZ1	2.7.9.3
Q96127	1.9.3.1
Q2RFA3	3.2.1.18
P04547	2.4.1.27
P12565	3.2.1.18
Q38087	2.7.7.7
Q7AKF0	6.1.1.7
Q9C664	2.7.1.48
P32282	1.17.4.1
Q5UP36	6.1.1.16
Q9E6P5	2.7.1.21
P12296	2.7.7.48;3.4.22.28;3.6.1.15
P0C6W7	3.4.19.12;3.4.22.69;2.7.7.48;3.6.4.12;3.6.4.13
A0A0U1WZ18	5.4.2.8
P13871	2.7.7.48
Q6J8E4	3.2.1.18
Q86IG3	3.1.3.48
P03692	3.6.4.12
A0A382	1.6.5.3;1.6.99.5
Q7XUN6	2.7.11.1
Q91W90	5.3.4.1
A0A0L0P4F8	5.99.1.2
P32884	3.2.1.18
I3X057	1.8.4.8
A0A0H2URT2	1.1.1.1;1.2.1.10
Q6S6P1	2.7.7.7;3.1.26.4
Q76ZS0	2.7.7.6
Q779J8	2.7.7.7
A4U7A9	3.2.1.18
Q805H4	3.6.1.3
D2K762	2.5.1.21
P72539	4.1.3.27
Q4Q0M0	2.7.9.3
Q2QZ14	1.14.13.72
Q6LH19	1.21.4.2;1.21.4.3;1.21.4.4
Q07583	3.2.1.18
Q00098	2.7.11.1
E3W204	4.2.3.81;4.2.3.82;4.2.3.83
Q90023	1.15.1.1
Q9WZY4	2.5.1.49
Q38S59	1.9.3.1
C8XPA8	2.1.1.56;2.1.1.57;2.7.7.48;3.4.21.91;3.6.1.15;3.6.4.13
F8S114	3.4.21.74
Q38S00	1.9.3.1
Q7VNG0	2.7.9.3
O47695	1.9.3.1
K0E689	1.1.1.85
Q2TXG4	4.2.1.79
O36979	3.4.22.45;2.7.7.48;3.4.22.44
P68634	3.6.1.23
P23456	2.7.7.48
P09915	2.1.1.37
Q6TUY0	2.7.7.19
P24705	1.15.1.1
A3DRP3	3.2.1.18
Q8BCV9	2.1.1.56;2.7.7.48
Q77MS1	1.17.4.1
Q5UQD9	2.7.7.6
P12555	3.2.1.18
I3VE77	5.4.99.2
Q6R7H4	1.17.4.1
P0C9A4	3.6.4.13
A0A0F6B4W4	3.1.3.25
Q05057	2.7.7.48
Q5NVA2	1.8.1.9
Q2T4M6	6.4.1.2
A0A1D8PC43	4.1.1.33
P0C990	6.5.1.1
P00368	1.4.1.3
P20502	3.6.4.13
A8C8X1	2.7.7.48
P03006	3.6.4.12
Q5UQ57	6.3.2.19
P04413	2.7.11.1
Q58MU6	1.3.7.6
Q9VDA0	3.6.4.13
P0DTW0	4.99.1.1
Q5UQI3	1.14.13.70
A0A0E0SMA3	2.1.1.41
P0DSS8	1.17.4.1
Q1K9E3	2.7.7.48
A0A7H0DN73	2.7.1.21
P0DSX5	2.1.1.56;2.7.7.50;3.1.3.33
Q38S23	1.9.3.1
P16071	3.2.1.18
A0A2H5AIZ6	2.1.1.104
P00530	2.7.10.2;2.7.11.1;2.7.10.1
P22056	3.4.21.90
O40977	2.7.7.48
O70127	3.6.3.44
P11187	3.2.1.17
E9Q5K4	1.14.14.1
A4UHQ2	2.1.1.56;2.7.7.48
Q91F87	3.6.1.23
P28893	3.6.1.23
Q9ZX92	2.1.1.148
Q93XQ5	2.1.1.53;2.5.1.16
Q9J5S2	2.7.7.49;2.7.7.7;3.1.26.4
Q67212	3.2.1.18
P00638	3.1.11.3
Q96Q15	2.7.11.1
P00531	2.7.11.1
P09854	2.7.7.7;3.1.26.4
Q463W7	2.7.7.48
Q3HM40	2.7.7.48
Q81020	3.6.4.12
Q7TNC9	3.1.3.56
Q8V3R4	2.7.7.19
O47702	1.9.3.1
Q98199	2.7.7.19
Q702W0	2.7.11.24;2.7.11.1
P07849	3.1.27.5
P68554	1.9.3.1
Q4IB89	2.7.11.1
Q9P8G3	3.4.21.63
Q03132	2.3.1.94
G0S196	3.6.3.1
A4GCM2	3.2.1.18
F6NXI9	2.7.7.72
Q79666	2.7.7.49;2.7.7.7;3.1.13.2;3.1.26.13;3.4.23.16
Q5UPX7	2.7.7.6
P25465	3.2.1.18
P31184	4.1.1.39
P08491	3.4.21.90
Q6QLN1	2.7.7.48
B8YB54	2.7.7.6
B1NKS7	2.1.1.56;2.7.7.50
Q4JHN6	2.5.1.10;2.5.1.1
P0DOQ6	3.1.3.48
P10220	3.4.19.12
P58973	2.1.1.250
P20235	2.7.7.48;3.4.22.44
P00513	2.7.11.1
P05895	2.7.7.49;2.7.7.7;3.1.13.2;3.1.26.13;3.4.23.16
C5MSH2	2.7.7.48
W6Q4Q9	4.2.3.9
P03113	3.6.4.12
P28438	4.1.1.39
A0A8G1A3Q5	3.2.1.14
Q6DNQ5	2.7.7.48
Q9J3N2	3.2.2.27
Q8W9G7	1.9.3.1
Q913A7	2.7.7.49;2.7.7.7;3.1.26.4
Q84424	2.7.7.50
P11235	3.2.1.18
Q90029	2.7.1.21
P0C0W5	2.1.1.249
Q9J7Z2	2.7.7.48
Q9MUK0	1.97.1.12
P07572	3.1.26.4;2.7.7.49;2.7.7.7;3.6.1.23
Q9IWW8	2.1.1.56;2.7.7.48
P05807	3.6.1.15
Q6RZR1	3.6.1.23
Q8V3T6	2.7.7.48
Q2T0V9	2.7.13.3
B5E3C8	6.1.1.21
Q38617	6.5.1.1
B5E6K3	5.4.2.10
Q9QUK9	3.4.21.4
P07314	2.3.2.2;3.4.19.13;3.4.19.14
Q8Y7F2	2.7.1.26;2.7.7.2
P51433	3.1.1.4
B2HM76	2.7.8.11
O47673	1.9.3.1
R9QMW5	4.2.3.111
Q5UQ78	2.7.11.1
P00641	3.1.21.2
P15965	2.7.7.48
Q76WJ1	3.2.1.18
P33072	1.4.3.13
Q83944	2.7.7.48
P0C6U4	3.4.19.12;3.4.22.69
Q66117	2.7.7.48
P04408	2.7.1.21
Q9IMM4	2.7.7.48
A7BFV8	2.3.1.47
B2BNE1	3.6.4.13
O90371	3.4.21.90
Q0A461	2.7.7.48
P09250	2.7.1.21
B9U443	3.1.1.74
Q8IBT4	2.8.1.7
Q80IU7	2.7.7.49;2.7.7.7;3.1.26.4
Q9JGL0	2.7.7.48;3.1.3.33;3.6.1.15;3.6.4.13
Q8UZB6	2.7.7.48;3.6.4.13
B2BMF7	2.7.7.48
Q9TTY3	2.4.1.69
P00806	3.5.1.28
P49899	1.97.1.11
P19088	6.5.1.1
Q5AQA6	3.2.1.4
Q6EJ97	4.2.3.27
A0A2H5AIY0	4.1.1.25
P0DOQ4	3.6.1.15
O47674	1.9.3.1
M9PFN0	3.1.3.16
A0A1D8PJX3	1.10.2.2
P0C6V9	3.4.19.12;3.4.22.69;2.7.7.48;3.6.4.12;3.6.4.13
Q2U639	2.7.11.1
P07973	3.1.1.53
Q9YPD5	2.7.7.48
P14078	2.7.7.49;2.7.7.7;3.1.26.4
A2CG49	2.7.11.1
Q8MC99	2.7.7.6
G1UH28	3.2.1.14
Q7M753	2.7.1.33
P83373	1.1.1.37
P33589	3.4.21.74
V9TXH2	3.2.1.8
Q0EFA0	1.11.1.9
O57252	2.7.11.1
P16600	2.7.1.21
Q67825	2.7.7.48;3.6.1.15
Q9I8X1	3.4.21.74
A0A5J6BJN2	3.2.1.4
Q5NV96	2.7.8.1
Q4AEI1	1.11.1.9
P0DSP7	3.2.2.27
B2UP57	3.2.1.52
P14240	2.7.7.48
Q0HD57	3.2.1.18
Q38RX1	1.9.3.1
Q66929	2.7.7.48
P0CW79	3.4.22.45
B6UV92	2.5.1.32
P92389	2.7.7.6
P11292	2.7.7.49;2.7.7.7;3.1.26.4
P28727	2.7.7.48
Q4AEG9	1.11.1.12
Q8B0I0	2.1.1.56;2.7.7.48
P36226	2.7.1.21
C6E5Z5	2.7.9.3
A3FMB2	2.7.7.48;3.6.1.15
P27743	6.3.2.26
P00545	2.7.10.1
D5LX59	3.4.19.12
P26685	1.17.4.1
Q806Y6	2.7.7.48
Q6YT73	1.1.3.15
D9J041	1.16.1.1
A0A2D0TC04	3.1.4.1;3.6.1.9
A0A1V0QSA8	2.5.1.29
Q86783	2.7.7.48
P51728	3.2.1.17
Q4AEI2	1.11.1.9
P17374	3.6.1.23
P00535	2.7.10.1
Q4WVG0	2.7.11.13;2.7.11.1
P05769	2.1.1.56;2.1.1.57;2.7.7.48;3.4.21.91;3.6.1.15;3.6.4.13
Q8WSR3	1.3.5.1
Q5UQC3	1.14.11.4
P20234	2.7.7.48;3.4.22.44
Q9EMX1	3.1.3.48
Q91EK3	3.6.1.3
Q196X6	3.4.19.12
P52283	3.1.21.4
P0C6X7	3.4.19.12;3.4.22.69;2.7.7.48;3.6.4.12;3.6.4.13
Q9YN02	2.7.7.48;3.4.19.12;3.6.4.12;3.6.4.13
Q9P4D3	3.1.3.12
Q9QMI1	2.7.7.49;2.7.7.7;3.1.26.4
Q8SPN3	3.1.27.5
Q9GRU1	2.7.11.24
O06319	3.1.1.74
Q9R0T7	3.4.21.4
B8NHE0	4.2.3.6
P27551	3.6.4.12
P31999	2.7.7.48;3.4.22.44;3.4.22.45
P06447	2.1.1.56;2.7.7.48
P0DSY0	2.7.7.6
P52341	3.6.1.23
Q9QWE9	2.3.2.2;3.4.19.13;3.4.19.14
P13887	2.7.7.48;3.1.3.33;3.6.1.15;3.6.4.13
P04026	3.1.26.4;2.7.7.49;2.7.7.7;3.1.13.2;3.1.26.13
P03364	2.7.7.49;2.7.7.7;3.1.26.4
Q9W683	1.14.14.1
P29884	2.7.11.1
P03315	3.4.21.90
Q9UAV5	1.1.1.37
A0A8A1G1R1	3.2.1.4
Q9WMB3	2.1.1.56;2.7.7.48
Q84133	2.7.7.48;3.6.4.13
P06210	2.7.7.48;3.4.22.28;3.4.22.29;3.6.1.15
P26813	6.5.1.1
P69859	3.2.2.27
A0A0J9XBC9	3.2.1.4
Q93F76	3.5.2.6
P0DJ86	3.4.21.74
P32216	2.7.11.1
Q5AV04	2.6.1.42
P12894	3.1.26.4;2.7.7.49;2.7.7.7
Q32ZE0	2.1.1.56;2.1.1.57;2.7.7.48;3.4.21.91;3.6.1.15;3.6.4.13
Q20NV3	2.7.7.48
R4JND9	4.2.3.114;4.2.3.115
P49792	5.2.1.8
Q00942	5.99.1.3
A0A5F8AH41	2.1.1.28
O68008	5.1.1.11;5.1.1.13
A0A1S3YCW2	4.1.1.19
Q3ZD74	3.4.24.72
S3DB74	1.1.1.85
P08292	2.7.7.48;3.4.22.28;3.4.22.29;3.6.1.15
Q03133	2.3.1.94
Q6H7D2	2.7.11.1
Q197F0	2.7.11.1
O03085	3.6.3.14
Q9YMP9	3.4.22.50
D8Q364	3.2.1.4
P63185	2.7.10.2
B0BNF9	1.1.3.15
Q9QXF7	1.14.14.1
P20505	2.7.11.1
Q8IE02	3.1.21.2
P92478	1.9.3.1
Q5VN06	2.1.1.43
P89659	2.7.7.48;3.6.4.13
P28858	2.7.7.7;3.1.26.4
B2BW43	2.7.1.48
Q8IBN8	3.6.4.13
P31117	3.1.21.4
A0A7H0DN91	2.7.7.6
A0A5N6V703	3.2.1.4
P09254	3.6.1.23
O64238	2.1.1.148
P0C6T6	3.4.19.12;3.4.22.69
Q9VZI2	2.7.10.2
P20315	3.6.4.12
O13061	3.4.21.74
G1ESZ9	2.7.3.3
Q6J8G2	2.7.7.48
Q81165	2.7.7.49;2.7.7.7;3.1.26.4
Q2YDN8	2.7.11.1
A4K146	3.2.1.18
Q9AIK2	1.4.1.1
B2S2V0	3.1.26.4
Q59680	1.1.1.94
Q85197	2.7.7.48;3.4.22.44;3.4.22.45
Q37547	1.9.3.1
Q86VQ6	1.8.1.9
A6NGU5	2.3.2.2;3.4.19.13;3.4.19.14
Q88920	2.7.7.48;3.6.4.13
P11368	3.1.26.4;2.7.7.49;2.7.7.7
Q61493	2.7.7.7
Q9KM72	2.7.1.69
Q50LF1	1.5.3.1
A0A0L0P6P7	5.99.1.2
P04971	3.4.21.74
Q736T1	3.4.21.92
Q98234	1.11.1.9
Q2VC95	3.2.1.18
P41294	1.9.3.1
Q92031	3.4.24.72
Q8BB04	2.1.1.56;2.7.7.50
Q775U0	2.1.1.56;2.7.7.50;3.1.3.33
O24677	1.14.12.3;1.14.12.11
O57245	1.1.1.145;5.3.3.1
P04853	3.2.1.18
Q18LE8	2.7.1.21
A0A1D8PJ73	1.6.5.3;1.6.99.3;1.6.99.5
Q2V0C9	4.2.1.22
P11825	3.4.22.39
Q50LE9	1.5.3.1
P23074	3.1.26.4;2.7.7.49;2.7.7.7
O47667	1.9.3.1
Q9IDV9	2.7.7.49;2.7.7.7;3.1.13.2;3.1.26.13;3.4.23.16
P0DSV1	1.17.4.1
Q9Z034	3.6.1.3
A4GCK5	2.7.7.48
P20126	2.7.7.48;3.6.4.13
P27359	3.2.1.17
P08834	1.6.5.3
P49895	1.97.1.10
O48666	2.5.1.21
P09395	2.7.7.48;3.6.4.13
P36328	2.7.7.48;3.1.3.33;3.6.1.15;3.6.4.13
A0A7H0DNE9	2.7.11.1
Q69L93	1.14.13.72
P03252	3.4.22.39
P26119	2.7.7.48
Q98267	3.6.1.15
P43892	2.7.4.25
Q6LYD8	1.8.98.1
Q02941	2.7.7.48
P0C8K3	2.7.7.6
P49897	1.97.1.11
Q9Q0U7	3.2.1.18
B8NHE2	4.1.1.17
F2XF94	4.2.3.107
Q05133	3.6.4.12
L0E163	1.5.1.2
G4N4J5	1.13.11.60
P50683	1.9.3.1
P08361	3.1.26.4;2.7.7.49;2.7.7.7
Q0A451	2.7.7.48
Q9YUS2	2.7.7.7;3.1.26.4
P09249	2.1.1.45
P0DST4	2.7.7.6
P33800	2.7.11.1
Q7IKU8	1.9.3.1
Q9YDP3	2.1.1.37
P03304	2.7.7.48;3.4.22.28;3.6.1.15
A0A0D2Y5A7	2.3.1.12
O91262	3.1.1.53
P35341	2.1.1.56;2.7.7.48
Q3A9J4	1.21.4.2
A1XIP9	2.7.7.48
R9QMW1	4.2.3.111
O17679	2.1.1.43
P0C996	3.6.1.52
Q8GRU6	2.7.11.1
A0A2V0R8Y2	2.4.1.10
Q8BB26	3.1.1.53
Q2U0J7	1.2.1.12
B1AWN4	3.6.3.1
P12559	3.2.1.18
P09252	2.7.7.7;3.1.26.4
Q9VSK9	5.4.99.27
Q91FE8	1.17.4.1
P21526	3.2.1.18
P28866	3.2.2.27
Q6UEH6	1.14.18.1
Q66431	2.7.7.48;3.4.19.12
D3ZRC4	3.1.1.5
Q7TDB6	2.7.7.48
A0A067XR63	2.4.1.207
O03173	1.6.5.3
P21405	2.7.7.48
Q2HRC6	1.5.1.3
Q7T6Y4	2.7.7.7
Q6FSR7	2.7.1.137
P24988	1.9.3.1
Q9QEJ5	2.7.7.48;3.4.22.66;3.6.1.15
Q17VN6	2.7.7.6
P03523	2.1.1.56;2.7.7.48
A0A0B4HM53	4.2.1.94
P20979	2.1.1.56;2.7.7.50;3.1.3.33
Q5SBP2	4.2.3.10
P0DI77	4.2.3.108
B1NKU1	2.7.7.48
Q7IZ14	1.9.3.1
P11897	2.7.7.48;3.4.22.44
Q8IJV6	2.7.4.3
P68985	3.4.22.39
M2VWL5	5.4.2.8
P62692	3.2.1.17
Q9W2R3	2.7.1.68
Q89425	3.6.4.13
B8DNL1	2.7.9.3
F1QCV2	3.5.1.98
Q5I146	3.1.3.48
A0A1S4CGX4	2.7.12.2;2.7.11.1
P21033	2.1.1.57
E9AE57	4.2.1.2
B8YB55	2.7.7.6
Q6XQH7	2.7.7.48
M4DUF2	1.10.3.2
Q6UDJ1	1.17.4.1
O24679	1.18.1.3
A0A179HME7	2.6.1.42
G7JIK2	2.7.11.1
P68563	2.7.1.21
A0A1P7Y0D4	2.5.1.21
B5E4A8	2.3.1.157;2.7.7.23
P26713	1.17.4.1
P38110	2.7.11.1
Q9DEI1	2.7.11.1
Q2QLV9	2.5.1.32
P36309	2.7.7.48;3.6.4.13
I1S130	4.1.1.33
Q197B2	1.17.4.1
Q581T1	3.6.4.13
Q80DX6	2.1.1.56;2.7.7.50;3.1.3.33
A0A0H3NIL4	2.7.13.3
P06789	3.6.4.12
Q27493	2.7.7.6
P0DTQ2	2.7.1.100
B5E6M0	2.4.2.7
A2SZS3	2.7.7.48
B2MW51	2.7.7.48
A0AMG8	2.3.1.74
Q9IPJ5	2.1.1.56;2.7.7.48
P0DTA8	2.7.7.19
P0DSV5	2.7.4.9
A0A0S2T050	2.7.7.48;3.6.4.13
Q4WEB8	2.5.1.10;2.5.1.1
Q3IZP4	5.1.99.1
Q66578	2.7.7.48;3.4.22.28;3.4.22.29;3.6.1.15
Q9WAA1	3.2.1.18
Q38S35	1.9.3.1
Q3A9J5	1.21.4.2;1.21.4.3;1.21.4.4
G5EG78	1.11.1.7
P20430	2.7.7.48
Q9DUN3	2.7.7.48;3.6.1.15;3.4.22.66
Q05879	2.7.1.21
P43737	2.7.7.6
Q6WNP2	3.13.1.3
Q9DR81	3.1.1.53
Q9VF27	1.6.5.3;1.6.99.3;1.6.99.5
P07693	3.3.1.2
P67907	3.2.1.18
P42491	1.17.4.1
M1L514	2.7.7.6
Q25BI3	2.7.7.7
Q1PUD6	3.2.1.18
P35963	2.7.7.49;2.7.7.7;3.1.13.2;3.1.26.13;3.4.23.16
O47670	1.9.3.1
P11283	3.1.26.4;2.7.7.49;2.7.7.7;3.6.1.23
Q0A2F7	2.7.7.48
Q38S14	1.9.3.1
Q9RUP5	5.3.1.1
Q38100	3.1.22.4
Q9LIP9	2.6.1.16
O60229	2.7.11.1
B8N2C8	1.14.13.70
Q84934	2.7.7.48;3.4.22.44;3.4.22.45
Q8DP70	1.6.99.3
P00524	2.7.10.2
P0C8I6	2.7.1.21
P0C8K2	2.7.7.6
D3ZQD3	1.2.4.2
Q02964	2.7.7.49
S7ZEI5	2.6.1.42
Q55E58	2.7.11.1
Q4WJI7	3.6.4.12
A0A2R8QP51	3.4.14.5
Q82571	2.7.7.48
B9JN20	5.3.1.1
O64768	2.7.11.1
Q38RV3	1.9.3.1
P03356	3.1.26.4;2.7.7.49;2.7.7.7
Q396C5	1.4.3.5
